segmentnrs	original	stemmed
T06D4064:170A-41	phyi rol gyi don med do zhes de ltar dmigs pa ni 'dzin pa dang mtshan mar byed ces bya ba'i tha tshig go //	phyi rol gyi don med do zhes de ltar dmigs ba ni mang ba dang mtshan mar byed ces byed ba tha tshig go 
T06D4064:170B-0	mdun du zhes bya ba ni @170b mngon sum du'o //	mdun du zhes byed ba ni mngon sum du 
T06D4064:170B-1	'jog na zhes bya ba ni ji ltar thob pa bzhin du yid kyis 'jog pa'o //	mang na zhes byed ba ni ji ltar 'thob ba bzhin du yid kyis mang ba 
T06D4064:170B-2	rnal 'byor spyod pa'i dmigs pa rnam pa mang bas ci yang rung zhes bya ba smos te /	rnal mang spyod ba dmigs ba rnam ba mang ba ci yang rung zhes byed ba smos te 
T06D4064:170B-3	keng rus sam rnam par bsdos pa'am rnam par rul ba'am /	keng rus sam rnam ba sdo ba rnam ba rul ba 
T06D4064:170B-4	rnam par 'bu zhugs pa'am /	rnam ba mang 'jug ba 
T06D4064:170B-5	rnam par bam pa la sogs pa'o //	rnam ba bam ba la sogs ba 
T06D4064:170B-6	de ni tsam la mi gnas pa ni rnam par shes pa'i dmigs pa ma spangs pa'i phyir ro //	de ni tsam la mi gnas ba ni rnam ba shes ba dmigs ba ma spong ba phyir ro 
T06D4064:170B-7	nam zhig rnam par shes pa'i 'dzin pa spangs shing sems kyi chos nyid la rab tu gnas par 'gyur zhe na /	nam 'jig rnam ba shes ba mang ba spong shing sems kyi chos nyid la rab tu gnas ba mang zhe na 
T06D4064:170B-8	de'i phyir /	de phyir 
T06D4064:170B-9	nam zhig shes pas dmigs pa rnams //	nam 'jig shes ba dmigs ba rnams 
T06D4064:170B-10	mi dmigs de yi tshe na ni //	mi dmigs de yi tshe na ni 
T06D4064:170B-11	rnam par rig pa tsam la gnas //	rnam ba rig ba tsam la gnas 
T06D4064:170B-12	gzung ba med pas de 'dzin med //	gzung ba med ba de mang med 
T06D4064:170B-13	ces bya ba smos so //	ces byed ba smos so 
T06D4064:170B-14	gang gi tshe bstan pa la dmigs pa dang /	gang gi tshe ston ba la dmigs ba dang 
T06D4064:170B-15	gdams ngag la dmigs pa dang /	'doms ngag la dmigs ba dang 
