segmentnrs	original	stemmed
T06D4064:171A-7	de ni sems med mi dmigs pa //	de ni sems med mi dmigs ba 
T06D4064:171A-8	zhes bya'o //	zhes byed 
T06D4064:171A-9	'jig rten na 'dris par ma byas pa dang kun du 'byung ba med pa dang /	mang rten na mang ba ma byed ba dang kun du mang ba med ba dang 
T06D4064:171A-10	rnam par mi rtog pa dang /	rnam ba mi rtogs ba dang 
T06D4064:171A-11	'jig rten las rgal ba'i phyir /	mang rten las rgal ba phyir 
T06D4064:171A-12	'jig rten 'das pa'i ye shes de //	mang rten mang ba ye shes de 
T06D4064:171A-13	zhes bya'o //	zhes byed 
T06D4064:171A-14	ye shes de'i 'og tu gnas gyur pa bstan pa'i phyir /	ye shes de mang tu gnas gyur ba ston ba phyir 
T06D4064:171A-15	gnas kyang gzhan du gyur pa ste //	gnas kyang gzhan du gyur ba ste 
T06D4064:171A-16	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:171A-17	gnas ni 'dir kun gzhi rnam par shes pa sa bon thams cad pa'o //	gnas ni mang kun gzhi rnam ba shes ba sa bon thams cad ba 
T06D4064:171A-18	de gyur pa ni gang gnas ngan len dang /	de gyur ba ni gang gnas ngan len dang 
T06D4064:171A-19	rnam par smin pa dang /	rnam ba smin ba dang 
T06D4064:171A-20	gnyis kyi bag chags kyi dngos po log na las su rung ba dang /	gnyis kyi bag chags kyi dngos po log na las su rung ba dang 
T06D4064:171A-21	chos kyi sku dang /	chos kyi sku dang 
T06D4064:171A-22	mi gnyis pa'i ye shes kyi dngos por gyur pa'o //	mi gnyis ba ye shes kyi dngos por gyur ba 
T06D4064:171A-23	gnas gyur pa de yang gang spangs pas thob par 'gyur zhe na /	gnas gyur ba de yang gang spong ba 'thob ba mang zhe na 
T06D4064:171A-24	de'i phyir /	de phyir 
T06D4064:171A-25	gnas ngan len gnyis spangs pas so //	gnas ngan len gnyis spong ba so 
T06D4064:171A-26	zhes bya ba smos so /	zhes byed ba smos so 
T06D4064:171A-27	gnyis zhes bya ba ni nyon mongs pa'i sgrib pa'i gnas ngan len dang /	gnyis zhes byed ba ni nyon mongs ba sgrib ba gnas ngan len dang 
T06D4064:171A-28	shes bya'i sgrib pa'i gnas ngan len no //	shes byed sgrib ba gnas ngan len no 
T06D4064:171A-29	gnas ngan len ni gnas las su mi rung ba nyid de /	gnas ngan len ni gnas las su mi rung ba nyid de 
T06D4064:171A-30	de yang nyon mongs pa dang /	de yang nyon mongs ba dang 
T06D4064:171A-31	shes bya'i sgrib pa'i sa bon no //	shes byed sgrib ba sa bon no 
T06D4064:171A-32	gnas gyur pa de yang nyan thos la sogs pa la yod pa'i gnas ngan len spangs pas thob par 'gyur ba ni gang /	gnas gyur ba de yang nyan thos la sogs ba la yod ba gnas ngan len spong ba 'thob ba mang ba ni gang 
T06D4064:171A-33	rnam grol sku zhes bya ba smos so //	rnam grol sku zhes byed ba smos so 
T06D4064:171A-34	byang chub sems dpa' la yod pa'i gnas ngan len spangs pas thob par 'gyur ba ni gang /	byang chub sems dpa la yod ba gnas ngan len spong ba 'thob ba mang ba ni gang 
T06D4064:171A-35	thub pa chen po'i chos zhes bya //	thub ba chen po chos zhes byed 
T06D4064:171A-36	zhes bya ba smos te /	zhes byed ba smos te 
T06D4064:171A-37	sgrib pa rnam pa gnyis spangs pa'i bye brag gis gnas gyur ba bla na yod pa dang /	sgrib ba rnam ba gnyis spong ba 'bye brag gis gnas gyur ba bla na yod ba dang 
T06D4064:171A-38	bla na med par bstan to //	bla na med ba ston to 
T06D4064:171A-39	'dir tshigs su bcad pa /	mang tshigs su gcod ba 
T06D4064:171A-40	len pa'i rnam shes sgrib gnyis kyi //	len ba rnam shes sgrib gnyis kyi 
T06D4064:171A-41	mtshan nyid yin par shes par bya //	mtshan nyid yin ba shes ba byed 
T06D4064:171A-42	nyon mongs sa bon kun sa bon //	nyon mongs sa bon kun sa bon 
T06D4064:171A-43	der ni gnyis la gnyis 'ching ngo //	der ni gnyis la gnyis mang ngo 
T06D4064:171B-0	gnyis zhes bya ba ni nyan thos @171b dang byang chub sems dpa'o //	gnyis zhes byed ba ni nyan thos dang byang chub sems dpa 
T06D4064:171B-1	snga ma la ni nyon mongs pa'i sa bon no //	snga ma la ni nyon mongs ba sa bon no 
T06D4064:171B-2	cig shos la ni sgrib pa gnyis kyi sa bon te /	cig shos la ni sgrib ba gnyis kyi sa bon te 
T06D4064:171B-3	de dag bcom pas thams cad mkhyen pa nyid thob par 'gyur ro //	de 'dag 'joms ba thams cad mkhyen ba nyid 'thob ba mang ro 
T06D4064:171B-4	de nyid zag pa med dang dbyings //	de nyid zag ba med dang dbyings 
T06D4064:171B-5	zhes bya ba ni gnas gyur pa'i rang bzhin de nyid zag pa med pa dang dbyings zhes bya ste /	zhes byed ba ni gnas gyur ba rang bzhin de nyid zag ba med ba dang dbyings zhes byed ste 
T06D4064:171B-6	gnas ngan len med pa'i phyir ro //	gnas ngan len med ba phyir ro 
T06D4064:171B-7	zag pa thams cad dang bral bas zag pa med pa'o //	zag ba thams cad dang 'bral ba zag ba med ba 
T06D4064:171B-8	'phags pa'i chos kyi rgyu yin pas dbyings so //	mang ba chos kyi rgyu yin ba dbyings so 
T06D4064:171B-9	dbyings kyi sgra ni 'dir rgyu'i don to //	dbyings kyi sgra ni mang rgyu don to 
T06D4064:171B-10	bsam gyis mi khyab pa ni rtog ge'i spyod yul ma yin pa dang /	bsam gyis mi khyab ba ni rtogs ge spyod yul ma yin ba dang 
T06D4064:171B-11	so so rang gis rig pa dang /	so so rang gis rig ba dang 
T06D4064:171B-12	dpe med pa'i phyir ro //	dpe med ba phyir ro 
T06D4064:171B-13	dge ba ni rnam par dag pa'i dmigs pa'i bde ba dang /	dge ba ni rnam ba 'dag ba dmigs ba bde ba dang 
T06D4064:171B-14	zag pa med pa'i chos kyi rang bzhin yin pa'i phyir ro //	zag ba med ba chos kyi rang bzhin yin ba phyir ro 
T06D4064:171B-15	bstan pa ni rtag pa dang mi zad pa'i phyir ro //	ston ba ni rtag ba dang mi zad ba phyir ro 
T06D4064:171B-16	bde ba ni rtag pa nyid kyi phyir te /	bde ba ni rtag ba nyid kyi phyir te 
T06D4064:171B-17	gang mi rtag pa de ni sdug bsngal ba'o //	gang mi rtag ba de ni sdug sngal ba 
T06D4064:171B-18	'di ni rtag pa ste ;	mang ni rtag ba ste 
T06D4064:171B-19	de'i phyir bde ba'o //	de phyir bde ba 
T06D4064:171B-20	nyon mongs pa'i sgrib pa spangs pas nyan thos rnams kyi rnam par grol ba'i sku'o //	nyon mongs ba sgrib ba spong ba nyan thos rnams kyi rnam ba grol ba sku 
T06D4064:171B-21	gnas gyur pa'i mtshan nyid de ni thub pa chen po'i chos kyi sku zhes bya ste /	gnas gyur ba mtshan nyid de ni thub ba chen po chos kyi sku zhes byed ste 
T06D4064:171B-22	sa dang pha rol tu phyin pa bsgoms nas nyon mongs pa dang shes bya'i sgrib pa spangs bas gnas gyur pa yang dag par grub pa'i phyir thub pa chen po chos kyi sku zhes bya'o //	sa dang pha rol tu phyin ba sgom nas nyon mongs ba dang shes byed sgrib ba spong ba gnas gyur ba yang 'dag ba 'grub ba phyir thub ba chen po chos kyi sku zhes byed 
T06D4064:171B-23	'khor ba yongs su mi gtong zhing des nyon mongs pa med pa dang /	mang ba yongs su mi gtong zhing des nyon mongs ba med ba dang 
T06D4064:171B-24	chos thams cad la dbang 'byor ba thob pa'i phyir byang chub sems dpa'i chos kyi sku zhes bya'o //	chos thams cad la dbang mang ba 'thob ba phyir byang chub sems dpa chos kyi sku zhes byed 
T06D4064:171B-25	thub pa chen po zhes bya ba ni thub pa'i mchog dang ldan pas sangs rgyas bcom ldan 'das ni thub pa chen po'o //	thub ba chen po zhes byed ba ni thub ba mchog dang ldan ba sangs rgya 'joms ldan mang ni thub ba chen po 
T06D4064:171B-26	sum cu pa'i bshad pa slob dpon blo brtan gyis mdzad pa rdzogs so /	sum cu ba 'chad ba slob dpon blo brtan gyis mdzad ba rdzogs so 
T06D4064:171B-27	"//
 / rgya gar gyi mkhan po dzi na mi tra dang /"	rgya gar gyi mkhan po dzi na mi tra dang 
T06D4064:171B-28	sh'i lendra bo dhi dang /	sh lendra 'bo dhi dang 
T06D4064:171B-29	zhu chen gyi lo ts'a ba bande ye shes sdes zhus te gtan la phab pa /	'ju chen gyi lo ts ba bande ye shes sdes zhus te gtan la 'bebs ba 
