segmentnrs	original	stemmed
T06D4064:147A-28	rnam par shes pa dang /	rnam ba shes ba dang 
T06D4064:147A-29	de dag la sogs pa dag ni chos su nye bar 'dogs pa'o //	de 'dag la sogs ba 'dag ni chos su nye ba mang ba 
T06D4064:147A-30	nye bar 'dogs pa 'di rnams gnyis ni rnam par shes pa gyur pa nyid de /	nye ba mang ba mang rnams gnyis ni rnam ba shes ba gyur ba nyid de 
T06D4064:147A-31	bdag gam chos rnams dngos po la nye bar 'dogs pa ni ma yin no zhes bya ba de ji lta bu zhen chos rnams dang /	bdag gam chos rnams dngos po la nye ba mang ba ni ma yin no zhes byed ba de ji lta bu zhen chos rnams dang 
T06D4064:147A-32	bdag ni rnam par shes pa gyur pa las phyi rol na med pa'i phyir ro //	bdag ni rnam ba shes ba gyur ba las phyi rol na med ba phyir ro 
T06D4064:147A-33	gyur zhes bya ba de gang zhe na /	gyur zhes byed ba de gang zhe na 
T06D4064:147A-34	gzhan du gyur pa ste /	gzhan du gyur ba ste 
T06D4064:147A-35	rgyu'i skad cig 'gag pa dang /	rgyu skad cig mang ba dang 
T06D4064:147A-36	dus mnyam du rgyu'i skad cig dang mi 'bral ba 'bras bu'i bdag nyid thob pa ni gyur pa'o //	dus mnyam du rgyu skad cig dang mi mang ba mang bu bdag nyid 'thob ba ni gyur ba 
T06D4064:147A-37	de la bdag la sogs par rnam par rtog pa'i bag chags yongs su brtas shing gzugs la sogs pa rnam par rtog pa'i bag chags yongs su brtas na kun gzhi rnam par shes pa las bdag la sogs par snang ba dang /	de la bdag la sogs ba rnam ba rtogs ba bag chags yongs su rtas shing gzugs la sogs ba rnam ba rtogs ba bag chags yongs su rtas na kun gzhi rnam ba shes ba las bdag la sogs ba snang ba dang 
T06D4064:147A-38	gzugs la sogs par snang ba'i rnam par rtog pa 'byung ngo //	gzugs la sogs ba snang ba rnam ba rtogs ba mang ngo 
T06D4064:147A-39	de la bdag la sogs par snang ba dang /	de la bdag la sogs ba snang ba dang 
T06D4064:147A-40	gzugs la sogs par snang ba yang phyi rol gyi bdag dang /	gzugs la sogs ba snang ba yang phyi rol gyi bdag dang 
T06D4064:147B-0	@147b chos rnams med par rnam par rtog pa de las phyi rol du gyur pa lta bu rgyur byas nas /	chos rnams med ba rnam ba rtogs ba de las phyi rol du gyur ba lta bu rgyur byed nas 
T06D4064:147B-1	bdag la sogs par nye bar 'dogs pa dang /	bdag la sogs ba nye ba mang ba dang 
T06D4064:147B-2	gzugs la sogs pa chos su nye bar 'dogs pa thog ma med pa'i dus nas 'jug ste /	gzugs la sogs ba chos su nye ba mang ba thogs ma med ba dus nas mang ste 
T06D4064:147B-3	dper na rab rib can gyis skra shad 'dzings pa la sogs pa mthong ba bzhin no //	dper na rab rib can gyis skra shad mang ba la sogs ba mthong ba bzhin no 
T06D4064:147B-4	nye bar 'dogs pa zhes bya ba ni gang la gang med pa de la de nye bar 'dogs te /	nye ba mang ba zhes byed ba ni gang la gang med ba de la de nye ba mang te 
T06D4064:147B-5	dper na mi blun po la ba lang zhes bya ba lta bu'o //	dper na mi blun po la ba lang zhes byed ba lta bu 
T06D4064:147B-6	de ltar na rnam par shes pa'i rang gi ngo bo dang /	de ltar na rnam ba shes ba rang gi ngo 'bo dang 
T06D4064:147B-7	phyi rol na yang bdag dang chos rnams med pas bdag dang chos rnams kun du brtags pa nyid de /	phyi rol na yang bdag dang chos rnams med ba bdag dang chos rnams kun du rtog ba nyid de 
T06D4064:147B-8	don dam par yod pa ma yin pas shes bya yang rnam par shes pa bzhin du rdzas nyid do zhes mtha' gcig tu smra ba 'di khas mi blang ngo //	don dam ba yod ba ma yin ba shes byed yang rnam ba shes ba bzhin du rdzas nyid do zhes mtha gcig tu smra ba mang khas mi blang ngo 
T06D4064:147B-9	nye bar 'dogs pa ni gzhi med par mi srid pas gang la bdag dang chos su nye bar 'dogs pa 'byung ba'i rnam par shes pa gyur pa dngos po yod par nges nga ra khas blang ngo //	nye ba mang ba ni gzhi med ba mi srid ba gang la bdag dang chos su nye ba mang ba mang ba rnam ba shes ba gyur ba dngos po yod ba nges nga ra khas blang ngo 
T06D4064:147B-10	de bas na rnam par shes pa yang shes bya bzhin du kun rdzob nyid de /	de ba na rnam ba shes ba yang shes byed bzhin du kun rdzob nyid de 
T06D4064:147B-11	don dam par med do zhes khas len pa des rigs pa mi bzod de /	don dam ba med do zhes khas len ba des rigs ba mi bzod de 
T06D4064:147B-12	kun rdzob tu yang dngos po med par 'gyur ba'i phyir ro //	kun rdzob tu yang dngos po med ba mang ba phyir ro 
T06D4064:147B-13	rten med na kun rdzob du mi rung ba ste /	rten med na kun rdzob du mi rung ba ste 
T06D4064:147B-14	de bas na mtha' gcig tu smra ba rnam pa 'di gnyis yang mi rigs pa'i phyir btang ngo zhes slob dpon gyi tshig go //	de ba na mtha gcig tu smra ba rnam ba mang gnyis yang mi rigs ba phyir gtong ngo zhes slob dpon gyi tshig go 
T06D4064:147B-15	de ltar na shes bya thams cad kun brtags pa'i ngo bo nyid yin pas dngos po med do //	de ltar na shes byed thams cad kun rtog ba ngo 'bo nyid yin ba dngos po med do 
T06D4064:147B-16	rnam par shes ba ni rten cing 'brel bar 'byung bas rdzas su yod par khas blang ngo //	rnam ba shes ba ni rten cing mang ba mang ba rdzas su yod ba khas blang ngo 
T06D4064:147B-17	rnam par shes pa rten cing 'brel bar 'byung ba ni gyur ba'i sgras bstan pa'o //	rnam ba shes ba rten cing mang ba mang ba ni gyur ba sgras ston ba 
T06D4064:147B-18	phyi rol gyi don med par rnam par shes pa nyid don gyi rnam par 'byung ba 'di ji ltar shes par rung zhe na /	phyi rol gyi don med ba rnam ba shes ba nyid don gyi rnam ba mang ba mang ji ltar shes ba rung zhe na 
T06D4064:147B-19	phyi rol gyi don ni bdag snang ba'i rnam par shes pa skyed pa'i phyir rnam par shes pa'i dmigs pa'i rkyen du 'dod kyi byed rgyu tsam du 'dod pa ni ma yin te /	phyi rol gyi don ni bdag snang ba rnam ba shes ba skyed ba phyir rnam ba shes ba dmigs ba rkyen du mang kyi byed rgyu tsam du mang ba ni ma yin te 
T06D4064:147B-20	de ma thag pa'i rkyen la sogs pa dang bye brag med par 'gyur ba'i phyir ro //	de ma thag ba rkyen la sogs ba dang 'bye brag med ba mang ba phyir ro 
T06D4064:147B-21	rnam par shes pa'i tshogs lnga po dag ni ba bstsags pa la dmigs pa ste /	rnam ba shes ba tshogs lnga po 'dag ni ba bstsags ba la dmigs ba ste 
T06D4064:147B-22	de'i rnam pa dang 'dra ba'i phyir ro //	de rnam ba dang mang ba phyir ro 
T06D4064:148A-0	bstsags pa ni cha @148a * //	bstsags ba ni cha 
T06D4064:148A-1	shas 'dus pa tsam las gud na med de /	shas mang ba tsam las 'gud na med de 
T06D4064:148A-2	cha shas de dag brtsal na bstsags pa'i rnam pa'i rnam par shes pa med pa'i phyir ro //	cha shas de 'dag brtsal na bstsags ba rnam ba rnam ba shes ba med ba phyir ro 
T06D4064:148A-3	de bas na phyi rol gyi don med par rnam par shes pa bstsags pa'i rnam par 'byung ngo //	de ba na phyi rol gyi don med ba rnam ba shes ba bstsags ba rnam ba mang ngo 
T06D4064:148A-4	rdul phra rab bsags pa dag nyid ni rdul phra rab dag ni de'i rnam pa ma yin pa'i phyir ro //	rdul phra rab bsags ba 'dag nyid ni rdul phra rab 'dag ni de rnam ba ma yin ba phyir ro 
T06D4064:148A-5	rdul phra rab rnams ma bstsags pa'i dus na yang rang bzhin bye brag tu gyur ba ci yang med de /	rdul phra rab rnams ma bstsags ba dus na yang rang bzhin 'bye brag tu gyur ba ci yang med de 
T06D4064:148A-6	de bas na rdul phra rab rnams ma bstsags pa bzhin du bstsags pa yang dmigs par mi rung ngo //	de ba na rdul phra rab rnams ma bstsags ba bzhin du bstsags ba yang dmigs ba mi rung ngo 
T06D4064:148A-7	gzhan dag rdul phra rab re re gzhan la mi ltos pa ni dbang pos mi rtogs kyi /	gzhan 'dag rdul phra rab re re gzhan la mi ltos ba ni dbang pos mi rtogs kyi 
T06D4064:148A-8	dbang po phan tshun ltos pa ni dbang pos bzung ba'o snyam du sems pa de dag gi yang ltos pa dang mi ltos pa'i dus na rang bzhin bye brag tu gyur pa med pas dbang pos gzung ba'am /	dbang po phan tshun ltos ba ni dbang pos bzung ba snyam du sems ba de 'dag gi yang ltos ba dang mi ltos ba dus na rang bzhin 'bye brag tu gyur ba med ba dbang pos gzung ba 
T06D4064:148A-9	dbang pos mi rtogs pa gcig tu 'gyur ro //	dbang pos mi rtogs ba gcig tu mang ro 
T06D4064:148A-10	gal te phan tshun ltos pa'i rdul phra rab nyid rnam par shes pa'i yul du gyur du zin na ni /	gal te phan tshun ltos ba rdul phra rab nyid rnam ba shes ba yul du gyur du zin na ni 
T06D4064:148A-11	de lta na bum pa dang rtsig pa la sogs pa'i rnam pa tha dad pa gang yin pa de rnam par shes pa la 'byung bar mi 'gyur te /	de lta na bum ba dang rtsig ba la sogs ba rnam ba tha dad ba gang yin ba de rnam ba shes ba la mang ba mi mang te 
T06D4064:148A-12	rdul phra rab dag de'i rnam pa ma yin pa'i phyir ro //	rdul phra rab 'dag de rnam ba ma yin ba phyir ro 
T06D4064:148A-13	rnam par shes pa la snang ba yang gzhan la yul yang rnam pa gzhan du ni ha cang thal bar 'gyur bas mi rigs so //	rnam ba shes ba la snang ba yang gzhan la yul yang rnam ba gzhan du ni ha cang thal ba mang ba mi rigs so 
T06D4064:148A-14	rdul phra rab dag kyang tshu rol dang pha rol dang dbus kyi cha yod pas ka ba la sogs pa bzhin du don dam par yod pa ma yin no //	rdul phra rab 'dag kyang tshu rol dang pha rol dang dbus kyi cha yod ba ka ba la sogs ba bzhin du don dam ba yod ba ma yin no 
T06D4064:148A-15	de ni khas mi len na ni rdul phra rab la shar dang /	de ni khas mi len na ni rdul phra rab la 'char dang 
