segmentnrs	original	stemmed
T06D4064:168A-31	gzhan min gzhan pa min pa min //	gzhan min gzhan ba min ba min 
T06D4064:168A-32	de'i phyir de nyid ces bya ba 'di ltar kun brtags pa'i ngo bo nyid gzhan gyi dbang dang rtag tu bral ba ni yongs su grub pa ste /	de phyir de nyid ces byed ba mang ltar kun rtog ba ngo 'bo nyid gzhan gyi dbang dang rtag tu 'bral ba ni yongs su 'grub ba ste 
T06D4064:168A-33	bral ba nyid ni chos nyid do //	'bral ba nyid ni chos nyid do 
T06D4064:168A-34	chos nyid chos las gzhan dang gzhan ma yin par mi rung ngo //	chos nyid chos las gzhan dang gzhan ma yin ba mi rung ngo 
T06D4064:168A-35	yongs su grub pa ni gzhan gyi dbang gi chos nyid de de'i phyir gzhan gyi dbang las yongs su grub pa gzhan pa yang ma yin la gzhan ma yin pa yang ma yin par khong du chud par bya'o //	yongs su 'grub ba ni gzhan gyi dbang gi chos nyid de de phyir gzhan gyi dbang las yongs su 'grub ba gzhan ba yang ma yin la gzhan ma yin ba yang ma yin ba khong du chud ba byed 
T06D4064:168B-0	gal te @168b yongs su grub pa gzhan gyi dbang las gzhan yin na ni de lta na go kun brtags pas gzhan gyi dbang stong par mi 'gyur ro //	gal te yongs su 'grub ba gzhan gyi dbang las gzhan yin na ni de lta na go kun rtog ba gzhan gyi dbang stong ba mi mang ro 
T06D4064:168B-1	ji lta gzhan ma yin na /	ji lta gzhan ma yin na 
T06D4064:168B-2	de lta na yang yongs su grub pa rnam par dag pa'i dmigs par mi 'gyur te /	de lta na yang yongs su 'grub ba rnam ba 'dag ba dmigs ba mi mang te 
T06D4064:168B-3	gzhan gyi dbang bzhin du kun nas nyon mongs pa'i bdag nyid kyi phyir ro //	gzhan gyi dbang bzhin du kun nas nyon mongs ba bdag nyid kyi phyir ro 
T06D4064:168B-4	de bzhin dug zhan gyi dbang yang kun nas nyon mongs pa'i bdag nyid du 'gyur te /	de bzhin dug zhan gyi dbang yang kun nas nyon mongs ba bdag nyid du mang te 
T06D4064:168B-5	yongs su grub pa las gzhan ma yin pa'i phyir yongs su grub pa dang 'dra'o //	yongs su 'grub ba las gzhan ma yin ba phyir yongs su 'grub ba dang mang 
T06D4064:168B-6	mi rtag la sogs bzhin du brjod //	mi rtag la sogs bzhin du rjod 
T06D4064:168B-7	gzhan dang ma yin no zhes bya ba ni tshig gi lhag ma'o //	gzhan dang ma yin no zhes byed ba ni tshig gi lhag ma 
T06D4064:168B-8	dper na mi rtag pa nyid sdug bsngal ba nyid dang /	dper na mi rtag ba nyid sdug sngal ba nyid dang 
T06D4064:168B-9	bdag med pa nyid mi rtag pa la sogs pa las gzhan pa yang ma yin la gzhan ma yin pa yang ma yin no //	bdag med ba nyid mi rtag ba la sogs ba las gzhan ba yang ma yin la gzhan ma yin ba yang ma yin no 
T06D4064:168B-10	gal te 'du byed rnams las mi rtag pa nyid gzhan yin na /	gal te mang byed rnams las mi rtag ba nyid gzhan yin na 
T06D4064:168B-11	de lta na go 'du byed rnams mi rtag par mi 'gyur ro //	de lta na go mang byed rnams mi rtag ba mi mang ro 
T06D4064:168B-12	ji ste gzhan ma yin na /	ji ste gzhan ma yin na 
T06D4064:168B-13	de lta na yang 'du byed rnams zhig nas med pa nyid du 'gyur te mi rtag pa nyid bzhin no //	de lta na yang mang byed rnams 'jig nas med ba nyid du mang te mi rtag ba nyid bzhin no 
T06D4064:168B-14	de bzhin du sdug bsngal nyid la sogs pa la'ang brjod par bya'o //	de bzhin du sdug sngal nyid la sogs ba la rjod ba byed 
T06D4064:168B-15	gal te gzhan gyi dbang la gzung ba dang 'dzin pa med na de ji ltar 'dzin mi 'dzin na ni yod par ji ltar shes she na de'i phyir de ma mthong bar de mi mthong zhes bya ba smos so //	gal te gzhan gyi dbang la gzung ba dang mang ba med na de ji ltar mang mi mang na ni yod ba ji ltar shes she na de phyir de ma mthong ba de mi mthong zhes byed ba smos so 
T06D4064:168B-16	de ma mthong ba zhes bya ba ni yongs su grub pa'i ngo bo nyid do //	de ma mthong ba zhes byed ba ni yongs su 'grub ba ngo 'bo nyid do 
T06D4064:168B-17	de mi mthong zhes bya ba ni gzhan gyi dbang gi ngo bo nyid do //	de mi mthong zhes byed ba ni gzhan gyi dbang gi ngo 'bo nyid do 
T06D4064:168B-18	'jig rten las 'das pa'i ye shes rnam par mi rtog pas mthong bar bya ba yongs su grub pa'i ngo bo nyid ma mthong ba ni ma rtogs pa dang /	mang rten las mang ba ye shes rnam ba mi rtogs ba mthong ba byed ba yongs su 'grub ba ngo 'bo nyid ma mthong ba ni ma rtogs ba dang 
T06D4064:168B-19	mngon sum du ma byas pa'o //	mngon sum du ma byed ba 
T06D4064:168B-20	de'i rjes la thob pa dag la 'jig rten pa dang 'jig rten las 'das pa'i ye shes kyi spyod yul yin pas shes pa gzhan gyis gzhan gyi dang mi 'dzin to //	de rjes la 'thob ba 'dag la mang rten ba dang mang rten las mang ba ye shes kyi spyod yul yin ba shes ba gzhan gyis gzhan gyi dang mi mang to 
T06D4064:168B-21	de'i phyir yongs su grub pa ma mthong bar gzhan gyi dbang mi mthong ste ;	de phyir yongs su 'grub ba ma mthong ba gzhan gyi dbang mi mthong ste 
T06D4064:168B-22	'jig rten las 'das pa'i ye shes kyi rjes la thob pa'i ye shes kyis ni mi mthong ba ma yin no //	mang rten las mang ba ye shes kyi rjes la 'thob ba ye shes kyis ni mi mthong ba ma yin no 
T06D4064:168B-23	rnam par mi rtog par 'jug pa'i gzungs las ji skad du /	rnam ba mi rtogs ba mang ba gzungs las ji skad du 
T06D4064:168B-24	de'i rjes la thob pa'i ye shes kyis ni chos thams cad sgyu ma dang smig rgyu dang rmi lam dang mig yor dang brag ca dang /	de rjes la 'thob ba ye shes kyis ni chos thams cad sgyu ma dang smig rgyu dang rmi lam dang mig yor dang brag ca dang 
T06D4064:169A-0	chu zla dang @169a * //	chu zla dang 
T06D4064:169A-1	sprul pa dang mtshungs par mthong ngo zhes gsungs pa lta bu'o //	sprul ba dang mtshungs ba mthong ngo zhes gsungs ba lta bu 
T06D4064:169A-2	chos ni 'dir gzhan gyi dbang du bsdus pa rnams su bzhed do //	chos ni mang gzhan gyi dbang du sdud ba rnams su bzhed do 
T06D4064:169A-3	yongs su grub pa ni nam mkha' lta bu ste /	yongs su 'grub ba ni nam mkha lta bu ste 
T06D4064:169A-4	ye shes ro gcig pa'o //	ye shes ro gcig ba 
T06D4064:169A-5	ji skad du rnam par mi rtog pa'i ye shes kyis ni chos thams cad nam mkha'i dkyil dang mtshungs par mthong ngo zhes gsungs pa lta bu ste gzhan gyi dbang gis chos rnams kyi de bzhin nyid tsam mthong ba'i phyir ro //	ji skad du rnam ba mi rtogs ba ye shes kyis ni chos thams cad nam mkha dkyil dang mtshungs ba mthong ngo zhes gsungs ba lta bu ste gzhan gyi dbang gis chos rnams kyi de bzhin nyid tsam mthong ba phyir ro 
T06D4064:169A-6	gal te gzhan gyi dbang rdzas nyid ni yin na ji ltar mdo sde la chos thams cad ni ngo bo nyid med pa ma skyes pa ma 'gags pa zhes bstan zhe na 'gal ba med de 'di ltar /	gal te gzhan gyi dbang rdzas nyid ni yin na ji ltar mdo sde la chos thams cad ni ngo 'bo nyid med ba ma skye ba ma mang ba zhes ston zhe na mang ba med de mang ltar 
T06D4064:169A-7	ngo bo nyid ni rnam gsum gyi //	ngo 'bo nyid ni rnam gsum gyi 
T06D4064:169A-8	ngo bo nyid med rnam gsum la //	ngo 'bo nyid med rnam gsum la 
T06D4064:169A-9	dgongs nas chos rnams thams cad ni //	dgongs nas chos rnams thams cad ni 
T06D4064:169A-10	ngo bo nyid med bstan pa yin //	ngo 'bo nyid med ston ba yin 
T06D4064:169A-11	ngo bo nyid gsum kho na ste //	ngo 'bo nyid gsum kho na ste 
T06D4064:169A-12	bzhir med par bstan pa'i phyir grangs bstan to //	bzhir med ba ston ba phyir grangs ston to 
T06D4064:169A-13	rang rang gi mtshan nyid kyi yod pa ltar 'gyur bas ngo bo nyid do //	rang rang gi mtshan nyid kyi yod ba ltar mang ba ngo 'bo nyid do 
T06D4064:169A-14	ngo bo nyid med pa rnam pa gsum ni mtshan nyid ngo bo nyid med pa dang /	ngo 'bo nyid med ba rnam ba gsum ni mtshan nyid ngo 'bo nyid med ba dang 
T06D4064:169A-15	skye ba ngo bo nyid med pa dang /	skye ba ngo 'bo nyid med ba dang 
T06D4064:169A-16	don dam pa ngo bo nyid med pa'o //	don dam ba ngo 'bo nyid med ba 
T06D4064:169A-17	chos thams cad ni kun brags pa dang /	chos thams cad ni kun brags ba dang 
T06D4064:169A-18	gzhan gyi dbang dang /	gzhan gyi dbang dang 
T06D4064:169A-19	yongs su grub pa'i bdag nyid do //	yongs su 'grub ba bdag nyid do 
T06D4064:169A-20	da ni ngo bo nyid gsum gyi gang gi ngo bo nyid med pa gang yin pa de bstan pa'i phyir /	da ni ngo 'bo nyid gsum gyi gang gi ngo 'bo nyid med ba gang yin ba de ston ba phyir 
T06D4064:169A-21	dang po ni mtshan nyid kyis //	dang po ni mtshan nyid kyis 
T06D4064:169A-22	ngo bo nyid med gzhan pa yang //	ngo 'bo nyid med gzhan ba yang 
T06D4064:169A-23	de ni rang nyid mi 'byung bas //	de ni rang nyid mi mang ba 
T06D4064:169A-24	ngo bo nyid med gzhan yin no //	ngo 'bo nyid med gzhan yin no 
T06D4064:169A-25	chos kyi don gyi dam pa'ang de //	chos kyi don gyi dam ba de 
T06D4064:169A-26	'di ltar de bzhin nyid kyang de //	mang ltar de bzhin nyid kyang de 
T06D4064:169A-27	zhes bya ba smos so //	zhes byed ba smos so 
T06D4064:169A-28	dang po pa ni kun du brtags pa'i ngo bo nyid de /	dang po ba ni kun du rtog ba ngo 'bo nyid de 
T06D4064:169A-29	de ni mtshan nyid kyis ngo bo nyid med pa ste /	de ni mtshan nyid kyis ngo 'bo nyid med ba ste 
T06D4064:169A-30	de'i mtshan nyid ni brtags pa'i phyir ro //	de mtshan nyid ni rtog ba phyir ro 
T06D4064:169A-31	gzugs kyi mtshan nyid ni gzugs su yod pa'o //	gzugs kyi mtshan nyid ni gzugs su yod ba 
T06D4064:169A-32	tshor ba'i mtshan nyid ni myong ba'o zhes bya ba la sogs pa ste /	tshor ba mtshan nyid ni myong ba zhes byed ba la sogs ba ste 
T06D4064:169A-33	de dag rang gi ngo bo med pas nam mkha'i me tog bzhin du rang gi ngo bo med pa'o //	de 'dag rang gi ngo 'bo med ba nam mkha me tog bzhin du rang gi ngo 'bo med ba 
T06D4064:169A-34	gzhan pa yang zhes bya ba ni gzhan gyi dbang gi ngo bo nyid do //	gzhan ba yang zhes byed ba ni gzhan gyi dbang gi ngo 'bo nyid do 
T06D4064:169A-35	de ni sgyu ma bzhin du rkyen gzhan gyis skyes pa'i phyir rang gi dngos po med do //	de ni sgyu ma bzhin du rkyen gzhan gyis skye ba phyir rang gi dngos po med do 
T06D4064:169A-36	'di ltar yang ji ltar snang ba de bzhin du de la skye ba med de /	mang ltar yang ji ltar snang ba de bzhin du de la skye ba med de 
T06D4064:169A-37	de'i phyir skye ba ngo bo nyid med pa zhes bya'o //	de phyir skye ba ngo 'bo nyid med ba zhes byed 
T06D4064:169B-0	chos kyi don gyi dam @169b ba'ang de //	chos kyi don gyi dam ba de 
T06D4064:169B-1	'di ltar de bzhin nyid kyang de //	mang ltar de bzhin nyid kyang de 
T06D4064:169B-2	zhes bya ba la /	zhes byed ba la 
T06D4064:169B-3	dam pa ni 'jig rten las 'das pa'i ye shes te /	dam ba ni mang rten las mang ba ye shes te 
T06D4064:169B-4	bla na med pa'i phyir ro //	bla na med ba phyir ro 
T06D4064:169B-5	de'i don ni dam pa'o //	de don ni dam ba 
T06D4064:169B-6	yang na nam mkha' ltar thams cad du ro gcig pa dang /	yang na nam mkha ltar thams cad du ro gcig ba dang 
