/home/basti/code/dvarapandita/data/jna030_bab:0	[179,2-182,8] || bhedābhedaparīkṣā ||	Beda NC Case=Cpd # aBeda NC Case=Cpd # parIkzA NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna030_bab:11	[179,13] samāveśāt pramāṇāntarāvṛttim apy ākarṣet | tato yady anyatayaināṃ nākarṣet, tata eva	samAveSa NC Case=Abl|Number=1|Gender=Masc # pramANa NC Case=Cpd # antarAvRtti NC Case=Acc|Number=1|Gender=Fem # api CX # AkRz V Tense=Pres|Mood=Opt|Person=3|Number=Sing # tatas CX # yadi CSB # anyatA NC Case=Ins|Number=1|Gender=Fem # enad PRD Case=Acc|Number=1|Gender=Fem # na CNG # AkRz V Tense=Pres|Mood=Opt|Person=3|Number=Sing # tatas CX # eva CEM #
/home/basti/code/dvarapandita/data/jna030_bab:12	[179,14] pṛthagupalabdhiniṣedhanam api na sādhayet | athābhedasya pṛthagupalabdhibādhaiva phalaṃ na	pRTak CX # upalabDi NC Case=Cpd # nizeDana NC Case=Acc|Number=1|Gender=Neut # api CX # na CNG # sADay V Tense=Pres|Mood=Opt|Person=3|Number=Sing # aTa CAD # aBeda NC Case=Gen|Number=1|Gender=Masc # pRTak CX # upalabDi NC Case=Cpd # bADA NC Case=Nom|Number=1|Gender=Fem # eva CEM # Pala NC Case=Nom|Number=1|Gender=Neut # na CNG #
/home/basti/code/dvarapandita/data/jna030_bab:13	[179,15] śabdāntarāvṛttisvābhāvyāt, tathāpi dvaitābhyupagamo viphalaḥ | evaṃ bhedapakṣe 'pi vācyam |	Sabda NC Case=Cpd # antarAvRtti NC Case=Cpd # svABAvya NC Case=Abl|Number=1|Gender=Neut # taTA CX # api CX # dvEta NC Case=Cpd # aByupagama NC Case=Nom|Number=1|Gender=Masc # viPala JJ Case=Nom|Number=1|Gender=Masc # evam CX # Beda NC Case=Cpd # pakza NC Case=Loc|Number=1|Gender=Masc # api CX # vac KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger #
/home/basti/code/dvarapandita/data/jna030_bab:14	[179,16] atha pṛthagupalabdhibādhaiva phalam abhedasya, śabdāntarāvṛttinivṛttis tu bhedasyaiva, tenāpi hi	aTa CAD # pRTak CX # upalabDi NC Case=Cpd # bADA NC Case=Nom|Number=1|Gender=Fem # eva CEM # Pala NC Case=Nom|Number=1|Gender=Neut # aBeda NC Case=Gen|Number=1|Gender=Masc # Sabda NC Case=Cpd # antarAvRtti NC Case=Cpd # nivRtti NC Case=Nom|Number=1|Gender=Fem # tu CCD # Beda NC Case=Gen|Number=1|Gender=Masc # eva CEM # tad PRD Case=Ins|Number=1|Gender=Neut # api CX # hi CX #
/home/basti/code/dvarapandita/data/jna030_bab:15	[179,17] saṃbhavinā svakāryam arjanīyam eva | evaṃ bhedasyāpi pramāṇāntarāpekṣaiva phalaṃ, pṛthagupa-	samBUin JJ Case=Ins|Number=1|Gender=Masc # sva JJ Case=Cpd # kArya NC Case=Nom|Number=1|Gender=Neut # a CNG # rjanIya JJ Case=Nom|Number=1|Gender=Neut # eva CEM # evam CX # Beda NC Case=Gen|Number=1|Gender=Masc # api CX # pramANa NC Case=Cpd # antara JJ Case=Cpd # apekzA NC Case=Nom|Number=1|Gender=Fem # eva CEM # Pala NC Case=Nom|Number=1|Gender=Neut # pRTak CX # upa CADP #
/home/basti/code/dvarapandita/data/jna030_bab:16	[179,18] labdhibādhā tv abhedasyeti |	labDi NC Case=Cpd # bADA NC Case=Nom|Number=1|Gender=Fem # tu CCD # aBeda NC Case=Gen|Number=1|Gender=Masc # iti CQT #
/home/basti/code/dvarapandita/data/jna030_bab:17	[179,19] ucyate | ubhayam ubhayasya kāryaṃ dṛṣṭaṃ, bhedasyāpi pṛthakprakāśaprasaṅgadoṣaḥ,	vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # uBaya JJ Case=Nom|Number=1|Gender=Neut # uBaya JJ Case=Gen|Number=1|Gender=Neut # kArya NC Case=Nom|Number=1|Gender=Neut # dRS PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # Beda NC Case=Gen|Number=1|Gender=Masc # api CX # pRTak CX # prakASa NC Case=Cpd # prasaFga NC Case=Cpd # doza NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:18	[179,20] śabdāntarāpekṣā ca guṇaḥ | abhedasyāpi śabdāntarāpekṣāprasaṅgadoṣaḥ, apṛthakpratibhāsaś ca	Sabda NC Case=Cpd # antara JJ Case=Cpd # apekzA NC Case=Nom|Number=1|Gender=Fem # ca CCD # guNa NC Case=Nom|Number=1|Gender=Masc # aBeda NC Case=Gen|Number=1|Gender=Masc # api CX # Sabda NC Case=Cpd # antara JJ Case=Cpd # apekzA NC Case=Cpd # prasaFga NC Case=Cpd # doza NC Case=Nom|Number=1|Gender=Masc # apRTak CX # pratiBAsa NC Case=Nom|Number=1|Gender=Masc # ca CCD #
/home/basti/code/dvarapandita/data/jna030_bab:19	[179,21] guṇaḥ | tatredānīṃ bhedena śabdāntaravṛttimātram ātanvatā sthātavyam | dvitīye tu kārye	guNa NC Case=Nom|Number=1|Gender=Masc # tatra CAD # idAnIm CX # Beda NC Case=Ins|Number=1|Gender=Masc # Sabda NC Case=Cpd # antara JJ Case=Cpd # vRtti NC Case=Cpd # mAtra NC Case=Nom|Number=1|Gender=Neut # Atan KDP Case=Ins|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # sTA KDG Case=Nom|Number=1|Gender=Neut|VerbForm=Ger # dvitIya JJ Case=Loc|Number=1|Gender=Neut # tu CCD # kArya NC Case=Loc|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:20	[179,22] paraprahāro 'pekṣitavyaḥ | abhedenāpi saha pratibhāsaṃ sṛjatā kāryāntare pratyanīkaprahāra	para PPX Case=Cpd # prahAra NC Case=Nom|Number=1|Gender=Masc # apekz KDG Case=Nom|Number=1|Gender=Masc|VerbForm=Ger # aBeda NC Case=Ins|Number=1|Gender=Masc # api CX # saha CX # pratiBAsa NC Case=Acc|Number=1|Gender=Neut # sRj KDP Case=Ins|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # kArya NC Case=Cpd # antara JJ Case=Loc|Number=1|Gender=Neut # pratyanIka NC Case=Cpd # prahAra NC Case=Voc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:21	[179,23] iti kiṃkṛto vibhāgaḥ? bhavadabhiprāyānuvidhāyitayā bhāvānām, svayam eva vā	iti CQT # ka PRQ Case=Cpd # kR PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # viBAga NC Case=Nom|Number=1|Gender=Masc # Bavat JJ Case=Cpd # aBiprAya NC Case=Cpd # anuviDAyin JJ Case=Cpd # tA NC Case=Ins|Number=1|Gender=Fem # BAva NC Case=Gen|Number=3|Gender=Masc # svayam CX # eva CEM # vA CCD #
/home/basti/code/dvarapandita/data/jna030_bab:22	[179,24] guṇadoṣayor anunayapratighasaṃbhavāt, kālabhedasaṃbhavād vā svabhāvayoḥ, kāryāṇāṃ ca |	guNa NC Case=Cpd # doza NC Case=Gen|Number=2|Gender=Masc # anunaya NC Case=Cpd # pratiGa NC Case=Cpd # samBava NC Case=Abl|Number=1|Gender=Masc # kAla NC Case=Cpd # Beda NC Case=Cpd # samBava NC Case=Abl|Number=1|Gender=Masc # vA CCD # svaBAva NC Case=Gen|Number=2|Gender=Masc # kArya NC Case=Gen|Number=3|Gender=Neut # ca CCD #
/home/basti/code/dvarapandita/data/jna030_bab:23	[179,25] tatrāpi niyatoguṇadoṣakramo 'niyato vā? tatra prathamavikalpe bhedābhedayor anyatara eva	tatra CAD # api CX # niyam PPP Case=Cpd|VerbForm=PPP # oguNa JJ Case=Cpd # doza NC Case=Cpd # krama NC Case=Nom|Number=1|Gender=Masc # niyam PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # vA CCD # tatra CAD # praTama JJ Case=Cpd # vikalpa NC Case=Loc|Number=1|Gender=Masc # Beda NC Case=Cpd # aBeda NC Case=Gen|Number=2|Gender=Masc # anyatara PPX Case=Nom|Number=1|Gender=Masc # eva CEM #
/home/basti/code/dvarapandita/data/jna030_bab:24	[180,1] pakṣaḥ svakīyaṃ guṇamātram arpayan dūṣaṇasparśarahito bhaviṣyati | na cainaṃ dūṣaṇam upaneṣyata iti	pakza NC Case=Nom|Number=1|Gender=Masc # svakIya JJ Case=Acc|Number=1|Gender=Masc # guNa NC Case=Cpd # mAtra NC Case=Acc|Number=1|Gender=Masc # arpay KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # dUzaNa NC Case=Cpd # sparSa NC Case=Cpd # rahita JJ Case=Nom|Number=1|Gender=Masc # BU V Tense=Fut|Mood=Ind|Person=3|Number=Sing # na CNG # ca CCD # enad PRD Case=Acc|Number=1|Gender=Masc # dUzaNa NC Case=Acc|Number=1|Gender=Neut # upanI KDP Case=Gen|Number=1|Gender=Masc|Tense=Fut|VerbForm=Part # iti CQT #
/home/basti/code/dvarapandita/data/jna030_bab:25	[180,2] kim ātmapramāṇānabhijñena dvaitaparigrahaḥ kṛtaḥ? caitanyaśūnyatvāc ca bhāvānāṃ nābhiprāya-	kim CX # Atman NC Case=Cpd # pramANa NC Case=Cpd # anaBijQa JJ Case=Ins|Number=1|Gender=Masc # dvEta NC Case=Cpd # parigraha NC Case=Nom|Number=1|Gender=Masc # kR PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # cEtanya NC Case=Cpd # SUnyatva NC Case=Abl|Number=1|Gender=Neut # ca CCD # BAva NC Case=Gen|Number=3|Gender=Masc # na CNG # aBiprAya NC Case=Voc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:26	[180,3] anuvidhānam |	anuviDAna NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:27	[180,4] ata eva na dvitīyo 'pi vikalpaḥ | astu vaiṣamye 'nunayādiḥ sa punar ātmopakārāpakāriṇi	atas CX # eva CEM # na CNG # dvitIya JJ Case=Nom|Number=1|Gender=Masc # api CX # vikalpa NC Case=Nom|Number=1|Gender=Masc # as V Tense=Pres|Mood=Imp|Person=3|Number=Sing # vEzamya NC Case=Loc|Number=1|Gender=Neut # nunaya NC Case=Cpd # Adi NC Case=Nom|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Masc # punar CAD # Atman NC Case=Cpd # upakAra NC Case=Cpd # apakArin JJ Case=Loc|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:28	[180,5] syāt, na vai vācakavācyatayā kiñcid eṣām apakṛtaṃ pratibhāsabhedena vopakṛtaṃ vā	as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # na CNG # vE CX # vAcaka JJ Case=Cpd # vAcya NC Case=Cpd # tA NC Case=Ins|Number=1|Gender=Fem # kaScit PRI Case=Nom|Number=1|Gender=Neut # idam PRD Case=Gen|Number=3|Gender=Masc # apakR PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # pratiBAsa NC Case=Cpd # Beda NC Case=Ins|Number=1|Gender=Masc # vA CCD # upakR PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # vA CCD #
/home/basti/code/dvarapandita/data/jna030_bab:29	[180,5] taditareṇa | bhavadanurodhāt tu guṇadoṣaśabdaprayogaḥ | tatas tadanuvṛttividhurasya tathātve 'pi	tad PRD Case=Cpd # itara PPX Case=Ins|Number=1|Gender=Masc # Bavat JJ Case=Cpd # anuroDa NC Case=Abl|Number=1|Gender=Masc # tu CCD # guNa NC Case=Cpd # doza NC Case=Cpd # Sabda NC Case=Cpd # prayoga NC Case=Nom|Number=1|Gender=Masc # tatas CX # tad PRD Case=Cpd # anuvRtti NC Case=Cpd # viDura JJ Case=Gen|Number=1|Gender=Masc # taTAtva NC Case=Loc|Number=1|Gender=Neut # api CX #
/home/basti/code/dvarapandita/data/jna030_bab:30	[180,6] na kiñcit | ananuvṛttau vā caitanyam uktam eva |	na CNG # kaScit PRI Case=Acc|Number=1|Gender=Neut # ananuvRtti JJ Case=Loc|Number=1|Gender=Fem # vA CCD # cEtanya NC Case=Nom|Number=1|Gender=Neut # vac PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # eva CEM #
/home/basti/code/dvarapandita/data/jna030_bab:31	[180,7] syād etat | śabdodayakāraṇakaraṇakalāpavyāpāravad abhiprāyānuvṛttiḥ svabhāvād eveti |	as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # etad PRD Case=Nom|Number=1|Gender=Neut # Sabda NC Case=Cpd # udaya NC Case=Cpd # kAraNa NC Case=Cpd # karaNa NC Case=Cpd # kalApa NC Case=Cpd # vyApAra NC Case=Cpd # vat CX # aBiprAya NC Case=Cpd # anuvRtti NC Case=Nom|Number=1|Gender=Fem # svaBAva NC Case=Abl|Number=1|Gender=Masc # eva CEM # iti CQT #
/home/basti/code/dvarapandita/data/jna030_bab:32	[180,8] tathāpi dvaitaparigraho 'graha eva | ekasyaiva svabhāvasya tathā vyāpārakalpanaṃ kiṃ	taTA CX # api CX # dvEta NC Case=Cpd # parigraha NC Case=Nom|Number=1|Gender=Masc # graha NC Case=Nom|Number=1|Gender=Masc # eva CEM # eka PPX Case=Gen|Number=1|Gender=Masc # eva CEM # svaBAva NC Case=Gen|Number=1|Gender=Masc # taTA CX # vyApAra NC Case=Cpd # kalpana NC Case=Nom|Number=1|Gender=Neut # ka PRQ Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:33	[180,9] nāsthīyata ity uktaprāyam |	na CNG # sTA V Tense=Impf|Mood=Ind|Voice=Pass|Person=3|Number=Sing # iti CQT # vac PPP Case=Cpd|VerbForm=PPP # prAya NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna030_bab:34	[180,10] nāpi tṛtīyapakṣopakṣepaḥ kṣamaḥ | svabhāvayos tāvat kālabhede yadā bhedo na	na CNG # api CX # tRtIya JJ Case=Cpd # pakza NC Case=Cpd # upakzepa NC Case=Nom|Number=1|Gender=Masc # kzama JJ Case=Nom|Number=1|Gender=Masc # svaBAva NC Case=Gen|Number=2|Gender=Masc # tAvat CX # kAla NC Case=Cpd # Beda NC Case=Loc|Number=1|Gender=Masc # yadA CSB # Beda NC Case=Nom|Number=1|Gender=Masc # na CNG #
/home/basti/code/dvarapandita/data/jna030_bab:35	[180,11] tadā abhedaḥ | abhedakāle ca na bheda iti na kadācid paradoṣaparihāraḥ | tatra yathā	tadA CAD # aBeda NC Case=Nom|Number=1|Gender=Masc # aBeda NC Case=Cpd # kAla NC Case=Loc|Number=1|Gender=Masc # ca CCD # na CNG # Beda NC Case=Nom|Number=1|Gender=Masc # iti CQT # na CNG # kadAcid CX # para PPX Case=Cpd # doza NC Case=Cpd # parihAra NC Case=Nom|Number=1|Gender=Masc # tatra CAD # yaTA CCM #
/home/basti/code/dvarapandita/data/jna030_bab:36	[180,12] bhinne 'bhinne vā vastuny ekāntabhedābhedabhāvīni paryāyatvādīni kāryāṇi na vihanyante,	Bid PPP Case=Loc|Number=1|Gender=Neut|VerbForm=PPP # Bid PPP Case=Loc|Number=1|Gender=Neut|VerbForm=PPP # vA CCD # vastu NC Case=Loc|Number=1|Gender=Neut # ekAnta NC Case=Cpd # Beda NC Case=Cpd # aBeda NC Case=Cpd # BAvin JJ Case=Nom|Number=3|Gender=Neut # paryAya NC Case=Cpd # tva NC Case=Cpd # Adi NC Case=Nom|Number=3|Gender=Neut # kArya NC Case=Nom|Number=3|Gender=Neut # na CNG # vihan V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Plur #
/home/basti/code/dvarapandita/data/jna030_bab:37	[180,13] tathaiva svabhāvayoḥ kālabhede na prāpnuvanti, pratidvandvano 'bhāvāt | na ca bhāvinaiva	taTA CX # eva CEM # svaBAva NC Case=Gen|Number=2|Gender=Masc # kAla NC Case=Cpd # Beda NC Case=Loc|Number=1|Gender=Masc # na CNG # prAp V Tense=Pres|Mood=Ind|Person=3|Number=Plur # pratidvaMdva JJ Case=Nom|Number=1|Gender=Masc # BAva NC Case=Abl|Number=1|Gender=Masc # na CNG # ca CCD # BAvin JJ Case=Ins|Number=1|Gender=Masc # eva CEM #
/home/basti/code/dvarapandita/data/jna030_bab:38	[180,14] niṣedho 'vastutvāt | atas tatkālakāryakālabhedaḥ | śaraṇīkaraṇīyaḥ | tatra bhedaḥ śabdāntara-	nizeDa NC Case=Nom|Number=1|Gender=Masc # vastu NC Case=Cpd # tva NC Case=Abl|Number=1|Gender=Neut # atas CX # tad PRD Case=Cpd # kAla NC Case=Cpd # kArya NC Case=Cpd # kAla NC Case=Cpd # Beda NC Case=Nom|Number=1|Gender=Masc # SaraNIkR KDG Case=Nom|Number=1|Gender=Masc|VerbForm=Ger # tatra CAD # Beda NC Case=Nom|Number=1|Gender=Masc # Sabda NC Case=Cpd # antara JJ Case=Cpd #
/home/basti/code/dvarapandita/data/jna030_bab:39	[180,15] vṛttim ādhāya yāvat pratibhāsabhedam ādhātum upakramate, tāvad evābhedenopaniyatatā pratibadhyata	vRtti NC Case=Acc|Number=1|Gender=Fem # ADA CGDA VerbForm=Abs # yAvat CX # pratiBAsa NC Case=Cpd # Beda NC Case=Acc|Number=1|Gender=Masc # ADA CGDI VerbForm=Inf # upakram V Tense=Pres|Mood=Ind|Person=3|Number=Sing # tAvat CX # eva CEM # aBeda NC Case=Ins|Number=1|Gender=Masc # upaniyam PPP Case=Cpd|VerbForm=PPP # tA NC Case=Nom|Number=1|Gender=Fem # pratibanD V Tense=Impf|Mood=Ind|Voice=Pass|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna030_bab:40	[180,16] iti ka evaṃ nyāyavihasto hastasamāracitaṃ vastu prastotum arhati sāhasaikabhuvaṃ bhavantam	iti CQT # ka PRQ Case=Nom|Number=1|Gender=Masc # evam CX # nyAya NC Case=Cpd # vihas PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # hasta NC Case=Cpd # samAracay PPP Case=Acc|Number=1|Gender=Neut|VerbForm=PPP # vastu NC Case=Acc|Number=1|Gender=Neut # prastu CGDI VerbForm=Inf # arh V Tense=Pres|Mood=Ind|Person=3|Number=Sing # sAhasa NC Case=Cpd # eka PPX Case=Cpd # BU NC Case=Acc|Number=1|Gender=Fem # Bavat JJ Case=Acc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:41	[180,17] antareṇa? svabhāvayor eva hi kālabhedaḥ	antareNa CX # svaBAva NC Case=Gen|Number=2|Gender=Masc # eva CEM # hi CX # kAla NC Case=Cpd # Beda NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:42	[sa ca] kasya vastunas tāvad durlabhaḥ? na hi sa	tad PRD Case=Nom|Number=1|Gender=Masc # ca CCD # ka PRQ Case=Gen|Number=1|Gender=Masc # vastu NC Case=Gen|Number=1|Gender=Neut # tAvat CX # durlaBa JJ Case=Nom|Number=1|Gender=Masc # na CNG # hi CX # tad PRD Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:43	[180,18] paścād bhavan tasyaiva yuktaḥ, kāraṇacintāvidhuratvāc ca tatrāpi pratyekaṃ kālabhedaḥ | na	paScAt CAD # BU KDP Case=Nom|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # tad PRD Case=Gen|Number=1|Gender=Masc # eva CEM # yuj PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # kAraNa NC Case=Cpd # cintA NC Case=Cpd # viDura JJ Case=Cpd # tva NC Case=Abl|Number=1|Gender=Neut # ca CCD # tatra CAD # api CX # pratyekam CX # kAla NC Case=Cpd # Beda NC Case=Nom|Number=1|Gender=Masc # na CNG #
/home/basti/code/dvarapandita/data/jna030_bab:44	[180,19] hy ekasvabhāvapratibaddhatve yuktam evam | tatrāpi niyato guṇadoṣābhimatakāryakaraṇakramaḥ |	hi CX # eka PPX Case=Cpd # svaBAva NC Case=Cpd # pratibanD PPP Case=Cpd|VerbForm=PPP # tva NC Case=Loc|Number=1|Gender=Neut # yuj PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # evam CX # tatra CAD # api CX # niyam PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # guNa NC Case=Cpd # doza NC Case=Cpd # aBiman PPP Case=Cpd|VerbForm=PPP # kArya NC Case=Cpd # karaNa NC Case=Cpd # krama NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna030_bab:45	[180,20] aniyamena punaḥ prapātapatanaprasaṅgād iti vyaktam iṣṭakāmatāmātrāpahṛtahṛdayo na kiñcit	aniyama NC Case=Ins|Number=1|Gender=Masc # punar CAD # prapAta NC Case=Cpd # patana NC Case=Cpd # prasaFga NC Case=Abl|Number=1|Gender=Masc # iti CQT # vyakta JJ Case=Acc|Number=1|Gender=Neut # izwakA NC Case=Cpd # tA NC Case=Cpd # mAtra NC Case=Cpd # apahR PPP Case=Cpd|VerbForm=PPP # hRdaya NC Case=Nom|Number=1|Gender=Masc # na CNG # kaScit PRI Case=Acc|Number=1|Gender=Neut #
