/home/basti/code/dvarapandita/data/jna014_ks4:0	 [107,1] [kṣaṇabhaṅga-adhyāye]	kzaNa NC Case=Cpd # BaFga NC Case=Cpd # DyAya NC Case=Loc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:11	syād etat,	as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # etad PRD Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna014_ks4:12	 āstāṃ karpara-paṅktir eva kalasa-dhvaṃso na ceyaṃ purā	As V Tense=Pres|Mood=Imp|Person=3|Number=Sing # karpara NC Case=Cpd # paFkti NC Case=Nom|Number=1|Gender=Fem # eva CEM # kalasa NC Case=Cpd # DvaMsa NC Case=Nom|Number=1|Gender=Masc # na CNG # ca CCD # idam PRD Case=Nom|Number=1|Gender=Fem # purA CX #
/home/basti/code/dvarapandita/data/jna014_ks4:13	tena sthairyam api prasidhyatu tato bhinnena nāśena kim |	tad PRD Case=Ins|Number=1|Gender=Neut # sTErya NC Case=Acc|Number=1|Gender=Neut # api CX # prasiD V Tense=Pres|Mood=Imp|Person=3|Number=Sing # tatas CX # Bid PPP Case=Ins|Number=1|Gender=Neut|VerbForm=PPP # nASa NC Case=Ins|Number=1|Gender=Masc # ka PRQ Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna014_ks4:14	 atrottaram,	atra CAD # uttara JJ Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna014_ks4:15	 nāśaḥ saiva yathocyate yadi tathābhāvo 'pi kumbhāntara-	nASa NC Case=Nom|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Fem # eva CEM # yaTA CCM # vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # yadi CSB # taTABAva NC Case=Nom|Number=1|Gender=Masc # api CX # kumBa NC Case=Cpd # antara JJ Case=Voc|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:16	nyāse 'bhāva-ravaḥ kathaṃ matam ataḥ sidhyaty abhāve 'pi naḥ ||	nyAsa NC Case=Loc|Number=1|Gender=Masc # BAva NC Case=Cpd # rava NC Case=Nom|Number=1|Gender=Masc # kaTam CX # man PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # atas CX # siD V Tense=Pres|Mood=Ind|Person=3|Number=Sing # aBAva NC Case=Loc|Number=1|Gender=Masc # api CX # mad PPR Case=Gen|Number=3|Gender= #
/home/basti/code/dvarapandita/data/jna014_ks4:17	 ayam arthaḥ | yathā vegavan mudgara-prahārāt pūrvaṃ ghaṭasya nāśo nāstīti pratipādayituṃ śakyaṃ bhavatas tat-svabhāva-bhūtāyāḥ kapālapaṅkter adarśanāt, tathā nābhāva-paramparāparicayo 'pi nāstīti śakyam | na hy abhāve 'pi kapālapaṅktir evocyate, yena svabhāvānupalabdhir avalambanaṃ tad-vad eva syāt | atha nāśa-vad abhāvo 'pi kapālapaṅktir evocyate, tadā kvacid deśe kumbham ekam apanīya kumbhāntara-nyāse katham abhāva-vyavahāraḥ, kapālāvaler abhāvāt? asti ca kathañcid bhedam ākalayataḥ tatrāpy abhāva-vyavahāraḥ ekasyānyasya sādṛśya-vipralabdhasya prācīnāvasthāna-vyavasāye 'pi, tat kathaṃ kapāla-pālir evābhāvaḥ? tad asyāṃ dhvaṃsa-śabdaṃ saṃketayato yadi pūrvaṃ dhvaṃso nāstīti śakyam apy abhidhātuṃ, kapāla-daśā-virahāt, abhāvas tu nāstīti na śakyam, sadṛśāpara-saṃbhavena dur-upalakṣaṇāt | tasmāt prahārāt prāg-abhāve 'pi kumbhasya saṃbhāvyamāne siddham abhimatam asmākam | dṛśyānupalambhānavatāraṇaṃ nāma, ato na karparāṇāṃ dhvaṃsa-saṃjñayopayogaḥ | na cānyan mudgarānvaya-vyatirekānukāri dṛṣṭam iti vyavahāra-mātra-parāyaṇa eva nāśo na vastuto 'sti |	idam PRD Case=Nom|Number=1|Gender=Masc # arTa NC Case=Nom|Number=1|Gender=Masc # yaTA CCM # vegavat JJ Case=Nom|Number=1|Gender=Neut # mudgara NC Case=Cpd # prahAra NC Case=Abl|Number=1|Gender=Masc # pUrvam CX # Gawa NC Case=Gen|Number=1|Gender=Masc # nASa NC Case=Nom|Number=1|Gender=Masc # na CNG # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # iti CQT # pratipAday CGDI VerbForm=Inf # Sakya JJ Case=Nom|Number=1|Gender=Neut # Bavat JJ Case=Gen|Number=1|Gender=Masc # tad PRD Case=Cpd # svaBAva NC Case=Cpd # BU PPP Case=Gen|Number=1|Gender=Fem|VerbForm=PPP # kapAla NC Case=Cpd # paFkti NC Case=Gen|NumadarSana NC Case=Abl|Number=1|Gender=Neut # taTA CX # na CNG # aBAva NC Case=Cpd # paramparA NC Case=Cpd # paricaya NC Case=Nom|Number=1|Gender=Masc # api CX # na CNG # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # iti CQT # Sakya JJ Case=Nom|Number=1|Gender=Neut # na CNG # hi CX # aBAva NC Case=Loc|Number=1|Gender=Masc # api CX # kapAla NC Case=Cpd # paFkti NC Case=Nom|Number=1|Gender=Fem # eva CEM # vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # yad PRL Case=Ins|Number=1|Gender=Masc # svaBAva NC Case=Cpd # anupalabDi NC Case=Nom|Number=1|Gender=Fem # avalambana Ntadvat CX # eva CEM # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # aTa CAD # na CNG # a CNG # SaSvat CX # aBAva NC Case=Nom|Number=1|Gender=Masc # api CX # kapAla NC Case=Cpd # paFkti NC Case=Nom|Number=1|Gender=Fem # eva CEM # vac V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing # tadA CAD # kvacid CX # deSa NC Case=Loc|Number=1|Gender=Masc # kumBa NC Case=Acc|Number=1|Gender=Masc # eka PPX Case=Acc|Number=1|Gender=Masc # apanI CGDA VerbForm=Abs # kumBa NC Case=Cpd # antara JJ Case=Cpd # nyAsa NC Case=Loc|Number=1|Gender=Masc # kaTam CX # aBAva NC Case=Cpd # vyavahAra NC Case=NomkapAla NC Case=Cpd # Avali NC Case=Gen|Number=1|Gender=Fem # aBAva NC Case=Abl|Number=1|Gender=Masc # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # ca CCD # kaTaMcid CX # Beda NC Case=Acc|Number=1|Gender=Masc # Akalay KDP Case=Gen|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # tatra CAD # api CX # aBAva NC Case=Cpd # vyavahAra NC Case=Nom|Number=1|Gender=Masc # eka PPX Case=Gen|Number=1|Gender=Masc # anya PPX Case=Gen|Number=1|Gender=Masc # sAdRSya NC Case=Cpd # vipralaB PPP Case=Gen|Number=1|Gender=Masc|VerbForm=PPP # prAcIna JJ Case=Cpd # avasTAna JJ Case=Cpd # vyavasAya NC Case=Loc|Number=1|api CX # tad PRD Case=Nom|Number=1|Gender=Neut # kaTam CX # kapAla NC Case=Cpd # pAli NC Case=Nom|Number=1|Gender=Fem # eva CEM # aBAva NC Case=Nom|Number=1|Gender=Masc # tad PRD Case=Nom|Number=1|Gender=Neut # idam PRD Case=Loc|Number=1|Gender=Fem # DvaMsa NC Case=Cpd # Sabda NC Case=Acc|Number=1|Gender=Masc # saMketay KDP Case=Gen|Number=1|Gender=Masc|Tense=Pres|VerbForm=Part # yadi CSB # pUrvam CX # DvaMsa NC Case=Nom|Number=1|Gender=Masc # na CNG # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # iti CQT # Sakya JJ Case=Nom|Number=1|Gender=Neut # api CX # aBiDA CGDI VerbForm=Inf #aBAva NC Case=Nom|Number=1|Gender=Masc # tu CCD # na CNG # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # iti CQT # na CNG # Sakya JJ Case=Nom|Number=1|Gender=Neut # sadRSa JJ Case=Cpd # apara PPX Case=Cpd # samBava NC Case=Ins|Number=1|Gender=Masc # durupalakzaNa NC Case=Abl|Number=1|Gender=Neut # tad PRD Case=Abl|Number=1|Gender=Neut # prahAra NC Case=Abl|Number=1|Gender=Masc # prAgaBAva NC Case=Loc|Number=1|Gender=Masc # api CX # kumBa NC Case=Gen|Number=1|Gender=Masc # samBAvay KDP Case=Loc|Number=1|Gender=Masc|Tense=Pres|Voice=Pass|VerbForm=Part # siD PPP Case=Nom|Number=1|Gender=NeutaBiman PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # mad PPR Case=Gen|Number=3|Gender= # dRS KDG Case=Cpd|VerbForm=Ger # anupalamBa NC Case=Cpd # avatAraNa NC Case=Nom|Number=1|Gender=Neut # nAma CX # atas CX # na CNG # karpara NC Case=Gen|Number=3|Gender=Masc # DvaMsa NC Case=Cpd # saMjQA NC Case=Ins|Number=1|Gender=Fem # upayoga NC Case=Nom|Number=1|Gender=Masc # na CNG # ca CCD # anya PPX Case=Nom|Number=1|Gender=Neut # mudgara NC Case=Cpd # anvaya NC Case=Cpd # vyatireka NC Case=Cpd # anukArin JJ Case=Nom|Number=1|Gender=Neut #dRS PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # iti CQT # vyavahAra NC Case=Cpd # mAtra NC Case=Cpd # parAyaNa NC Case=Nom|Number=1|Gender=Masc # eva CEM # nASa NC Case=Nom|Number=1|Gender=Masc # na CNG # vastutas CX # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna014_ks4:18	 [108,21] nāśo nāsti yadi svahetu-niyataḥ kiṃ deśa-kāke kvacit	nASa NC Case=Nom|Number=1|Gender=Masc # na CNG # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # yadi CSB # sva JJ Case=Cpd # hetu NC Case=Cpd # niyam PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # ka PRQ Case=Nom|Number=1|Gender=Neut # deSa NC Case=Cpd # kAka NC Case=Loc|Number=1|Gender=Masc # kvacid CX #
/home/basti/code/dvarapandita/data/jna014_ks4:19	kumbho naṣṭa iti pratīti-niyamas tenāsti kāryaś ca saḥ |	kumBa NC Case=Nom|Number=1|Gender=Masc # naS PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP # iti CQT # pratIti NC Case=Cpd # niyama NC Case=Nom|Number=1|Gender=Masc # tena CX # as V Tense=Pres|Mood=Ind|Person=3|Number=Sing # kR KDG Case=Nom|Number=1|Gender=Masc|VerbForm=Ger # ca CCD # tad PRD Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:20	nāpy anyat kila kāraṇaṃ rayavato daṇḍāt purāpy anyathā	na CNG # api CX # anya PPX Case=Nom|Number=1|Gender=Neut # kila CX # kAraNa NC Case=Nom|Number=1|Gender=Neut # ravi NC Case=Cpd # atas CX # daNXa NC Case=Abl|Number=1|Gender=Masc # purA CX # api CX # anyaTA CX #
/home/basti/code/dvarapandita/data/jna014_ks4:21	nāśotthāna-kṛtā vinaṣṭa-ghaṭa-dhīḥ kenoddhurā vāryate ||	nASa NC Case=Cpd # utTAna NC Case=Cpd # kR PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # vinaS PPP Case=Cpd|VerbForm=PPP # Gawa NC Case=Cpd # DI NC Case=Nom|Number=1|Gender=Fem # ka PRQ Case=Ins|Number=1|Gender=Masc # udDura JJ Case=Nom|Number=1|Gender=Fem # vAray V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna014_ks4:22	 evaṃ tarhi kāryāntaravat kāraṇānvaya-vyatirekānuvudhānaṃ dhvaṃsasyotphulla-gallam-ullapitaṃ luptaṃ, kāryāntaravad anubhavābhāvāt |	evam CX # tarhi CX # kArya NC Case=Cpd # antara JJ Case=Cpd # vat CX # kAraNa NC Case=Cpd # anvaya NC Case=Cpd # vyatireka NC Case=Cpd # anuvuDAna NC Case=Nom|Number=1|Gender=Neut # DvaMsa NC Case=Gen|Number=1|Gender=Masc # utPulla JJ Case=Cpd # galla NC Case=Nom|Number=1|Gender=Neut # ullpay PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # lup PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # kArya NC Case=Cpd # antara JJ Case=Cpd # vat CX # anuBava NC Case=Cpd # aBAva NC Case=Abl|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna014_ks4:23	 [109,2] kevalam upapattyā prasādhya pradhvaṃsam asthābhimata-nibandhanādhīnatā sādhya | sā copapattiḥ kṣīṇā, yataṛ	kevala JJ Case=Acc|Number=1|Gender=Neut # upapatti NC Case=Ins|Number=1|Gender=Fem # prasADay CGDA VerbForm=Abs # praDvaMsa NC Case=Acc|Number=1|Gender=Masc # asTi NC Case=Cpd # aBiman PPP Case=Cpd|VerbForm=PPP # nibanDana NC Case=Cpd # aDIna JJ Case=Cpd # tA NC Case=Nom|Number=1|Gender=Fem # sADay CGDA VerbForm=Abs # tad PRD Case=Nom|Number=1|Gender=Fem # ca CCD # upapatti NC Case=Nom|Number=1|Gender=Fem # kzi PPP Case=Nom|Number=1|Gender=Fem|VerbForm=PPP # yam PPP Case=Cpd|VerbForm=PPP # nR NC Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna014_ks4:24	 dṛṣṭe 'mbho-bhṛti mudgarādi-janitāṃ dṛṣṭvā kapālāvaliṃ	dRS PPP Case=Loc|Number=1|Gender=Neut|VerbForm=PPP # amBoBRt NC Case=Loc|Number=1|Gender=Neut # mudgara NC Case=Cpd # Adi NC Case=Cpd # janay PPP Case=Acc|Number=1|Gender=Fem|VerbForm=PPP # dRS CGDA VerbForm=Abs # kapAla NC Case=Cpd # Avali NC Case=Acc|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna014_ks4:25	saṃketānugamād(44a) vinaṣṭa-ghaṭa-dhīs tāvat samutpādyate |	vinaS PPP Case=Cpd|VerbForm=PPP # Gawa NC Case=Cpd # DI NC Case=Nom|Number=1|Gender=Masc # tAvat CX # samutpAday V Tense=Pres|Mood=Ind|Voice=Pass|Person=3|Number=Sing #
