/home/basti/code/dvarapandita/data/jna114_sa4:0	[437] [caturthaḥ paricchedaḥ]	caturTa JJ Case=Nom|Number=1|Gender=Masc # paricCeda NC Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:11	 vedanaṃ kiṃcid uddiśya yad bāhyaṃ bāhyam eva tat |	vedanA NC Case=Acc|Number=1|Gender=Neut # kaScit PRI Case=Acc|Number=1|Gender=Neut # uddiS CGDA VerbForm=Abs # yad PRL Case=Nom|Number=1|Gender=Neut # bAhya JJ Case=Nom|Number=1|Gender=Neut # bAhya JJ Case=Nom|Number=1|Gender=Neut # eva CEM # tad PRD Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna114_sa4:12	tac ca jñānaṃ jaṭaṃ vā syād iti cintā nirarthikā ||	tad PRD Case=Nom|Number=1|Gender=Neut # ca CCD # jQAna NC Case=Nom|Number=1|Gender=Neut # jawa NC Case=Nom|Number=1|Gender=Neut # vA CCD # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # iti CQT # cintA NC Case=Nom|Number=1|Gender=Fem # nirarTaka JJ Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna114_sa4:13	 sarvathā bāhyagrāhyavyavasthānāntariyako bādhaka iti siddham |	sarvaTA CX # bAhya JJ Case=Cpd # grah KDG Case=Cpd|VerbForm=Ger # vyavasTAna NC Case=Cpd # antariyaka JJ Case=Nom|Number=1|Gender=Masc # bADaka JJ Case=Nom|Number=1|Gender=Masc # iti CQT # siD PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP #
/home/basti/code/dvarapandita/data/jna114_sa4:14	 nanv etad eva nīlādibādhāyā viṣayo mataḥ |	nanu CX # etad PRD Case=Nom|Number=1|Gender=Neut # eva CEM # nIla JJ Case=Cpd # Adi NC Case=Cpd # bADA NC Case=Gen|Number=1|Gender=Fem # vizaya NC Case=Nom|Number=1|Gender=Masc # man PPP Case=Nom|Number=1|Gender=Masc|VerbForm=PPP #
/home/basti/code/dvarapandita/data/jna114_sa4:15	tac ca jñānaṃ jaṭaṃ vā syād iti cintā nirarthikā ||	tad PRD Case=Nom|Number=1|Gender=Neut # ca CCD # jQAna NC Case=Nom|Number=1|Gender=Neut # jawa NC Case=Nom|Number=1|Gender=Neut # vA CCD # as V Tense=Pres|Mood=Opt|Person=3|Number=Sing # iti CQT # cintA NC Case=Nom|Number=1|Gender=Fem # nirarTaka JJ Case=Nom|Number=1|Gender=Fem #
/home/basti/code/dvarapandita/data/jna114_sa4:16	na ca tatra dhiyo rūpam iti bhītiḥ prabādhituḥ |	na CNG # ca CCD # tatra CAD # DI NC Case=Gen|Number=1|Gender=Fem # rUpa NC Case=Nom|Number=1|Gender=Neut # iti CQT # BIti NC Case=Nom|Number=1|Gender=Fem # prabADitR JJ Case=Gen|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:17	nāpi paścāt tatha jñāne śakter utkīlanaṃ bhavet ||	na CNG # api CX # paScAt CAD # taTA CX # jQAna NC Case=Loc|Number=1|Gender=Neut # Sakti NC Case=Gen|Number=1|Gender=Fem # utkIlana NC Case=Nom|Number=1|Gender=Neut # BU V Tense=Pres|Mood=Opt|Person=3|Number=Sing #
/home/basti/code/dvarapandita/data/jna114_sa4:18	bāhyagrāhyavyavasthāyā vyapekṣāniyamo na ca |	bAhya JJ Case=Cpd # grah KDG Case=Cpd|VerbForm=Ger # vyavasTA NC Case=Gen|Number=1|Gender=Fem # vyapekza JJ Case=Cpd # aniyama NC Case=Nom|Number=1|Gender=Masc # na CNG # ca CCD #
/home/basti/code/dvarapandita/data/jna114_sa4:19	idaṃ hi bādhitaṃ nīlaṃ bahir astu mano 'stu vā ||	idam PRD Case=Nom|Number=1|Gender=Neut # hi CX # bAD PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # nIla JJ Case=Nom|Number=1|Gender=Neut # bahis CX # as V Tense=Pres|Mood=Imp|Person=3|Number=Sing # manas NC Case=Nom|Number=1|Gender=Neut # stu NC Case=Nom|Number=1|Gender=Neut # vA CCD #
/home/basti/code/dvarapandita/data/jna114_sa4:20	astu vā tadvyavasthāpi tathāpy etasya bādhanam |	as V Tense=Pres|Mood=Imp|Person=3|Number=Sing # vA CCD # tad PRD Case=Cpd # vyavasTA NC Case=Nom|Number=1|Gender=Fem # api CX # taTA CX # api CX # etad PRD Case=Gen|Number=1|Gender=Masc # bADana NC Case=Nom|Number=1|Gender=Neut #
/home/basti/code/dvarapandita/data/jna114_sa4:21	vairabuddhyā na kiṃ bandhoḥ prahāro maraṇapradaḥ ||	vEra NC Case=Cpd # budDi NC Case=Ins|Number=1|Gender=Fem # na CNG # kim CX # banDa NC Case=Nom|Number=1|Gender=Masc # prahAra NC Case=Nom|Number=1|Gender=Masc # maraNa NC Case=Cpd # prada JJ Case=Nom|Number=1|Gender=Masc #
/home/basti/code/dvarapandita/data/jna114_sa4:22	 iti cet | punar api brūmaḥ na vijñaptimātratāsiddhau bādhakāvakāśa iti prakṛtam | tatra grāhyagrāhakavyavasthā nāntarīyake bādhake sidhyati nāniṣṭam āpāditaṃ bhavati, yathā hi tasyā viplavas tathā bādhakasyeti sādhyasiddheḥ | na ca tannāntarīyakatāparihāraḥ śakyaḥ | na cāviṣayīkṛtasya bādhaḥ, idam anena bādhyata iti bādhādhyavasāyāt | viṣayīkaraṇaṃ ca bādhyasya bādhakād anyena, bādhakenetareṇa (bādhakenetareṇa) svayaṃ svapareṇa veti vikalpāḥ | bādhakād [439] anyena viṣayīkaraṇe tāvad abādhyam eva |	iti CQT # ced CX # punar CAD #siD V Tense=Pres|Mood=Ind|Person=3|Number=Sing # na CNG # anizwa JJ Case=Nom|Number=1|Gender=Neut # ApAday PPP Case=Nom|Number=1|Gender=Neut|VerbForm=PPP # BU V Tense=Pres|Mood=Ind|Person=3|Number=Sing # yaTA CCM # hi CX # tad PRD Case=Gen|Number=1|Gender=Fem # viplava NC Case=Nom|Number=1|Gender=Masc # taTA CX # bADaka JJ Case=Gen|Number=1|Gender=Masc # iti CQT # sADay KDG Case=Cpd|VerbForm=Ger # sidDi NC Case=Gen|Number=1|Gender=Fem # na CNG # ca CCD # tad PRD Case=Nom|Number=1|Gender=Neut # na CNG # antarIyaka JJ Case=Cpd # tA NC Case=Cpd # parihAra NC Case=Nom|Numna CNG #bADaka JJ Case=Ins|Number=1|Gender=Neut # itara PPX Case=Ins|Number=1|Gender=Neut # svayam CX # sva JJ Case=Cpd # para PPX Case=Ins|Number=1|Gender=Neut # vA CCD # iti CQT # vikalpa NC Case=Nom|Number=3|Gender=Masc # bADaka JJ Case=Abl|Number=1|Gender=Neut # anya PPX Case=Ins|Number=1|Gender=Neut # vizayin JJ Case=Cpd # karaNa NC Case=Loc|Number=1|Gender=Neut # tAvat CX # abADya JJ Case=Nom|Number=1|Gender=Neut # eva CEM #
