kum	 verb-pres 	kum	Intransitive:    (archaic) To die ; Compare 'gum
dkrugs	 verb-past 	dkrug	Transitive: Voluntary:  To disturb, put in motion; to turn, turn on a lathe ;To stir up; to disturb; to agitate; to disunite; to create differences by instigation ;1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude ;  1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe ; Root given as dkrug < *b-krug (Chang 1971: v.6).
dkrug	 verb-fut 	dkrug	Transitive: Voluntary:  To disturb, put in motion; to turn, turn on a lathe ;To stir up; to disturb; to agitate; to disunite; to create differences by instigation ;1. To stir, churn (a kind of liquid with a stick). 2. To be unharmonious, disagreeable. 3. To finish, conclude ;  1. To disturb, stir, churn. 2. To agitate, disrupt. 3. To carve by turning on a lathe ; Root given as dkrug < *b-krug (Chang 1971: v.6).
dkrum	 verb-pres 	dkrum	Transitive: Voluntary:  To break; to crack ;To break into bits ; To break (fragile objects) ;
dkrums	 verb-past 	dkrum	Transitive: Voluntary:  To break; to crack ;To break into bits ; To break (fragile objects) ;
dkrum	 verb-fut 	dkrum	Transitive: Voluntary:  To break; to crack ;To break into bits ; To break (fragile objects) ;
dkrog	 verb-pres 	dkrog	Transitive: Voluntary:  1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Jä) ; To stir up; to churn; to give a feeling of surprise to; to disturb; to open. ;1. To stir, churn. 2. To startle, surprise ; 1. To churn, agitate, stir. 2. To disturb ; Root given as dkrog < b-krog (Chang 1971: v.6).
dkrogs	 verb-past 	dkrog	Transitive: Voluntary:  1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Jä) ; To stir up; to churn; to give a feeling of surprise to; to disturb; to open. ;1. To stir, churn. 2. To startle, surprise ; 1. To churn, agitate, stir. 2. To disturb ; Root given as dkrog < b-krog (Chang 1971: v.6).
dkrog	 verb-fut 	dkrog	Transitive: Voluntary:  1. To churn; to agitate, mingle, trouble. 2. To rouse; scare up; to wag, e.g. the tail (Jä) ; To stir up; to churn; to give a feeling of surprise to; to disturb; to open. ;1. To stir, churn. 2. To startle, surprise ; 1. To churn, agitate, stir. 2. To disturb ; Root given as dkrog < b-krog (Chang 1971: v.6).
bkan	 verb-pres 	bkan	Transitive: Voluntary:  1. To up-root, turn up anything by applying a stick at its foot or root.  2. To bend. 3. To put; to press; to apply (Jä). 4. To hold fast; to extend (Cs).  ;1. To raise up. 2. To firmly press ;  1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect ;
bkan(d)	 verb-past 	bkan	Transitive: Voluntary:  1. To up-root, turn up anything by applying a stick at its foot or root.  2. To bend. 3. To put; to press; to apply (Jä). 4. To hold fast; to extend (Cs).  ;1. To raise up. 2. To firmly press ;  1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect ;
bkan	 verb-fut 	bkan	Transitive: Voluntary:  1. To up-root, turn up anything by applying a stick at its foot or root.  2. To bend. 3. To put; to press; to apply (Jä). 4. To hold fast; to extend (Cs).  ;1. To raise up. 2. To firmly press ;  1. To turn face upwards. 2. To hold firmly, to press down. 3. To neglect ;
bku	 verb-pres 	bku	Transitive: Voluntary:  To make extract of a drug by drawing out the juice ;To extract juice by boiling ;To extract a medicinal infusion ;
bkus	 verb-past 	bku	Transitive: Voluntary:  To make extract of a drug by drawing out the juice ;To extract juice by boiling ;To extract a medicinal infusion ;
bku	 verb-fut 	bku	Transitive: Voluntary:  To make extract of a drug by drawing out the juice ;To extract juice by boiling ;To extract a medicinal infusion ;
bkur	 verb-pres 	bkur	Transitive: Voluntary:  I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme ; To respect, venerate ;To respect ;To make offering, serve, respect ;
bkur(d)	 verb-past 	bkur	Transitive: Voluntary:  I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme ; To respect, venerate ;To respect ;To make offering, serve, respect ;
bkur	 verb-fut 	bkur	Transitive: Voluntary:  I. To pay homage or reverence; to esteem. 2. To slander, to blaspheme ; To respect, venerate ;To respect ;To make offering, serve, respect ;
bkong	 verb-pres 	bkong	Transitive: Voluntary:  To break the pride of somebody; to cause to become a coward ; To discourage, intimidate, humble ; To frighten, intimidate, discourage ; Compare 'khong
bkongs	 verb-past 	bkong	Transitive: Voluntary:  To break the pride of somebody; to cause to become a coward ; To discourage, intimidate, humble ; To frighten, intimidate, discourage ; Compare 'khong
bkong	 verb-fut 	bkong	Transitive: Voluntary:  To break the pride of somebody; to cause to become a coward ; To discourage, intimidate, humble ; To frighten, intimidate, discourage ; Compare 'khong
bkong	 verb-pres 	bkong	Intransitive:   To be presnkled ;
bkong	 verb-past 	bkong	Intransitive:   To be presnkled ;
bkong	 verb-fut 	bkong	Intransitive:   To be presnkled ;
bkyon	 verb-pres 	bkyon	Transitive: Voluntary:  To beat, to chastise ;To scold; to admonish ;(honorific) To speak roughly to someone ; (honorific) To scold, reprimand ;
bkyon(d)	 verb-past 	bkyon	Transitive: Voluntary:  To beat, to chastise ;To scold; to admonish ;(honorific) To speak roughly to someone ; (honorific) To scold, reprimand ;
bkyon	 verb-fut 	bkyon	Transitive: Voluntary:  To beat, to chastise ;To scold; to admonish ;(honorific) To speak roughly to someone ; (honorific) To scold, reprimand ;
bkra	 verb-pres 	bkra	   To be beautiful, clear, multicolored ;
bkra	 verb-past 	bkra	   To be beautiful, clear, multicolored ;
	 verb-fut 	bkra	   To be beautiful, clear, multicolored ;
	 verb-pres 	bkrags	 Voluntary:  To roast, grill ;{:tag :label, :attrs nil, :content ["Note: "]}(Tournadre & Dorje 2003: 228) .
Past (?):	 verb-past 	bkrags	 Voluntary:  To roast, grill ;{:tag :label, :attrs nil, :content ["Note: "]}(Tournadre & Dorje 2003: 228) .
	 verb-fut 	bkrags	 Voluntary:  To roast, grill ;{:tag :label, :attrs nil, :content ["Note: "]}(Tournadre & Dorje 2003: 228) .
krabs	 verb-pres 	bkrab	Transitive: Voluntary:  To choose or select from among many;(archaic) To select from among many ; To choose, select ;
bkrabs	 verb-past 	bkrab	Transitive: Voluntary:  To choose or select from among many;(archaic) To select from among many ; To choose, select ;
bkrab	 verb-fut 	bkrab	Transitive: Voluntary:  To choose or select from among many;(archaic) To select from among many ; To choose, select ;
bkral	 verb-pres 	bkral	Transitive: Voluntary:  To appoint ; To share tax payment ; To impose (a tax) ;
bkral	 verb-past 	bkral	Transitive: Voluntary:  To appoint ; To share tax payment ; To impose (a tax) ;
bkral	 verb-fut 	bkral	Transitive: Voluntary:  To appoint ; To share tax payment ; To impose (a tax) ;
bkres	 verb-pres 	bkres	Intransitive: Involuntary:  To be hungry ;To feel hungry;
bkres	 verb-past 	bkres	Intransitive: Involuntary:  To be hungry ;To feel hungry;
bkres	 verb-fut 	bkres	Intransitive: Involuntary:  To be hungry ;To feel hungry;
bkros	 verb-pres 	bkros	   To choose; to select. ;
bkros	 verb-past 	bkros	   To choose; to select. ;
bkros	 verb-fut 	bkros	   To choose; to select. ;
brkam	 verb-pres 	rkam	Intransitive: Voluntary: To desire, long for (as a child for sweets) ; To be attached to, to yearn for;
brkam	 verb-past 	rkam	Intransitive: Voluntary: To desire, long for (as a child for sweets) ; To be attached to, to yearn for;
brkam	 verb-fut 	rkam	Intransitive: Voluntary: To desire, long for (as a child for sweets) ; To be attached to, to yearn for;
rku	 verb-pres 	rku	Transitive: Voluntary:  To steal; to rob. ;To steal; to take away unlawfully;To steal, to take by sleight the property of another which has not been given or paid for;
brkus	 verb-past 	rku	Transitive: Voluntary:  To steal; to rob. ;To steal; to take away unlawfully;To steal, to take by sleight the property of another which has not been given or paid for;
brku	 verb-fut 	rku	Transitive: Voluntary:  To steal; to rob. ;To steal; to take away unlawfully;To steal, to take by sleight the property of another which has not been given or paid for;
rko	 verb-pres 	rko	Intransitive: Voluntary:  1. To dig, dig out; to hoe. 2. To engrave; turn up; till ;To inscribe; to dig; to engrave; to print;To dig (a hole in the ground &c.) ;1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.) ;
brkos	 verb-past 	rko	Intransitive: Voluntary:  1. To dig, dig out; to hoe. 2. To engrave; turn up; till ;To inscribe; to dig; to engrave; to print;To dig (a hole in the ground &c.) ;1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.) ;
brko	 verb-fut 	rko	Intransitive: Voluntary:  1. To dig, dig out; to hoe. 2. To engrave; turn up; till ;To inscribe; to dig; to engrave; to print;To dig (a hole in the ground &c.) ;1. To dig, excavate. 2. To carve out letters and designs (in stone, wood &c.) ;
rkon	 verb-pres 	rkon	   To trap or catch in a trap. ; From colloquial data (Chang 1971: vii.16)
brkon(d)	 verb-past 	rkon	   To trap or catch in a trap. ; From colloquial data (Chang 1971: vii.16)
brkon	 verb-fut 	rkon	   To trap or catch in a trap. ; From colloquial data (Chang 1971: vii.16)
rkyal	 verb-pres 	rkyal	Transitive: Voluntary:  To swim, to amuse oneself by swimming (Jä) ;To swim;
brkyal	 verb-past 	rkyal	Transitive: Voluntary:  To swim, to amuse oneself by swimming (Jä) ;To swim;
rkyal	 verb-fut 	rkyal	Transitive: Voluntary:  To swim, to amuse oneself by swimming (Jä) ;To swim;
rkyong	 verb-pres 	rkyong	Transitive: Voluntary:  To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To stretch out one's arms; to extend ; To extend, stretch (the feet, hands &c.) ; To stretch, spread out, extend ; Related to rgyong
brkyangs	 verb-past 	rkyong	Transitive: Voluntary:  To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To stretch out one's arms; to extend ; To extend, stretch (the feet, hands &c.) ; To stretch, spread out, extend ; Related to rgyong
brkyang	 verb-fut 	rkyong	Transitive: Voluntary:  To stretch, extend, stretch forth (one's hands to a person), put out (the tongue); spread; distend (the wings, a curtain) ; To stretch out one's arms; to extend ; To extend, stretch (the feet, hands &c.) ; To stretch, spread out, extend ; Related to rgyong
lkug	 verb-pres 	lkugs	Intransitive: Involuntary:  To become foolish; to become dumb ;To become unable to speak clearly ;To be dumb, to be unable to talk, to loose one's voice ;
lkugs	 verb-past 	lkugs	Intransitive: Involuntary:  To become foolish; to become dumb ;To become unable to speak clearly ;To be dumb, to be unable to talk, to loose one's voice ;
lkug	 verb-fut 	lkugs	Intransitive: Involuntary:  To become foolish; to become dumb ;To become unable to speak clearly ;To be dumb, to be unable to talk, to loose one's voice ;
skad	 verb-pres 	skad	Transitive:   To say, tell, relate ; The prestten equivalent of ;
skad	 verb-past 	skad	Transitive:   To say, tell, relate ; The prestten equivalent of ;
skad	 verb-fut 	skad	Transitive:   To say, tell, relate ; The prestten equivalent of ;
skam	 verb-pres 	skam	Intransitive: Involuntary:  To make thirsty ; To dry up, dry out ; Compare skem
bskams	 verb-past 	skam	Intransitive: Involuntary:  To make thirsty ; To dry up, dry out ; Compare skem
bskam	 verb-fut 	skam	Intransitive: Involuntary:  To make thirsty ; To dry up, dry out ; Compare skem
skar	 verb-pres 	skar	 Voluntary:  To hang up; to weigh. ;
bskar	 verb-past 	skar	 Voluntary:  To hang up; to weigh. ;
	 verb-fut 	skar	 Voluntary:  To hang up; to weigh. ;
skug	 verb-pres 	skug	Intransitive: Involuntary:  For the winner not comply with the game of taking wealth, after a dispute over victory and defeat ; To make a bet, to bet, to gambol ;
bskugs	 verb-past 	skug	Intransitive: Involuntary:  For the winner not comply with the game of taking wealth, after a dispute over victory and defeat ; To make a bet, to bet, to gambol ;
bskug	 verb-fut 	skug	Intransitive: Involuntary:  For the winner not comply with the game of taking wealth, after a dispute over victory and defeat ; To make a bet, to bet, to gambol ;
skung	 verb-pres 	skung	Transitive: Voluntary:  To hide in the ground, to bury, to inter ;To hide; to keep secret;1. To hide away. 2. To preste the symbol 'X' as a substitute for following words which are repeated in lines of verse, or other expression;To hide, conceal ;
bskungs	 verb-past 	skung	Transitive: Voluntary:  To hide in the ground, to bury, to inter ;To hide; to keep secret;1. To hide away. 2. To preste the symbol 'X' as a substitute for following words which are repeated in lines of verse, or other expression;To hide, conceal ;
bskung	 verb-fut 	skung	Transitive: Voluntary:  To hide in the ground, to bury, to inter ;To hide; to keep secret;1. To hide away. 2. To preste the symbol 'X' as a substitute for following words which are repeated in lines of verse, or other expression;To hide, conceal ;
skud	 verb-pres 	skud	Transitive: Voluntary:  To smear, to besmear; to daub ;To anoint; to apply oil or ointment;To put (dye, oil &c.) on the surface of something ;  To apply, put on, cover, smear ;
bskus	 verb-past 	skud	Transitive: Voluntary:  To smear, to besmear; to daub ;To anoint; to apply oil or ointment;To put (dye, oil &c.) on the surface of something ;  To apply, put on, cover, smear ;
bsku	 verb-fut 	skud	Transitive: Voluntary:  To smear, to besmear; to daub ;To anoint; to apply oil or ointment;To put (dye, oil &c.) on the surface of something ;  To apply, put on, cover, smear ;
skum	 verb-pres 	skum	Transitive: Voluntary:  To contract; to be drawn up; to be paralyzed ;To withdraw, to draw in; to make shorter or smaller; to contract; to conceal;The opposite of produce, extend ; 1. To contract, bend, pull in. 2. To conceal, to obfuscate;
bskums	 verb-past 	skum	Transitive: Voluntary:  To contract; to be drawn up; to be paralyzed ;To withdraw, to draw in; to make shorter or smaller; to contract; to conceal;The opposite of produce, extend ; 1. To contract, bend, pull in. 2. To conceal, to obfuscate;
bskum	 verb-fut 	skum	Transitive: Voluntary:  To contract; to be drawn up; to be paralyzed ;To withdraw, to draw in; to make shorter or smaller; to contract; to conceal;The opposite of produce, extend ; 1. To contract, bend, pull in. 2. To conceal, to obfuscate;
skur	 verb-pres 	skur	Transitive: Voluntary:  To bestow, give, send ;To make someone carry; to send; to cause to venerate on, to make someone pay respect;1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.);1. To send, dispatch. 2. To give, bestow, entrust, assign ;
bskur(d)	 verb-past 	skur	Transitive: Voluntary:  To bestow, give, send ;To make someone carry; to send; to cause to venerate on, to make someone pay respect;1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.);1. To send, dispatch. 2. To give, bestow, entrust, assign ;
bskur	 verb-fut 	skur	Transitive: Voluntary:  To bestow, give, send ;To make someone carry; to send; to cause to venerate on, to make someone pay respect;1. To deliver to the place of delivery by entrusting (a thing, letter &c.) with another person, post office. 2. For something to be carried (on the water, wind &c.);1. To send, dispatch. 2. To give, bestow, entrust, assign ;
skul	 verb-pres 	skul	Transitive: Voluntary:  To excite; to exhort, admonish, enjoin ;To induce; exhort, urge; to request to do something; to persuade; To motivate, incite ; 1. To induce, compel, persuade. 2. To incite, motivate ;
bskul(d)	 verb-past 	skul	Transitive: Voluntary:  To excite; to exhort, admonish, enjoin ;To induce; exhort, urge; to request to do something; to persuade; To motivate, incite ; 1. To induce, compel, persuade. 2. To incite, motivate ;
bskul	 verb-fut 	skul	Transitive: Voluntary:  To excite; to exhort, admonish, enjoin ;To induce; exhort, urge; to request to do something; to persuade; To motivate, incite ; 1. To induce, compel, persuade. 2. To incite, motivate ;
skem	 verb-pres 	skem	Intransitive: Voluntary:  To make dry, to dry up ;To dry;To make fewer, to dehydrate ; . To dry out, to dry;
bskams	 verb-past 	skem	Intransitive: Voluntary:  To make dry, to dry up ;To dry;To make fewer, to dehydrate ; . To dry out, to dry;
bskam	 verb-fut 	skem	Intransitive: Voluntary:  To make dry, to dry up ;To dry;To make fewer, to dehydrate ; . To dry out, to dry;
skems	 verb-pres 	skem	Transitive: Involuntary:  To wilt (of plants), become dry ;
bskams	 verb-past 	skem	Transitive: Involuntary:  To wilt (of plants), become dry ;
bskam	 verb-fut 	skem	Transitive: Involuntary:  To wilt (of plants), become dry ;
sko	 verb-pres 	sko	Transitive: Voluntary:  To select; to appoint, nominate, commission, charge ; To appoint ;  For leaders or people to give responsibility to a person for a task ; To appoint. 2. To be determined by the power of past deeds ;{:tag :ref, :attrs nil, :content ["(Uray 1972: 19) ."]}
bskos	 verb-past 	sko	Transitive: Voluntary:  To select; to appoint, nominate, commission, charge ; To appoint ;  For leaders or people to give responsibility to a person for a task ; To appoint. 2. To be determined by the power of past deeds ;{:tag :ref, :attrs nil, :content ["(Uray 1972: 19) ."]}
bsko	 verb-fut 	sko	Transitive: Voluntary:  To select; to appoint, nominate, commission, charge ; To appoint ;  For leaders or people to give responsibility to a person for a task ; To appoint. 2. To be determined by the power of past deeds ;{:tag :ref, :attrs nil, :content ["(Uray 1972: 19) ."]}
skong	 verb-pres 	skong	Transitive: Voluntary:  To fulfill ; To complete; to add; to satisfy, fulfill a wish ; 1. To fulfill. 2. To make up a deficiency; to supplement ;
bskangs	 verb-past 	skong	Transitive: Voluntary:  To fulfill ; To complete; to add; to satisfy, fulfill a wish ; 1. To fulfill. 2. To make up a deficiency; to supplement ;
bskang	 verb-fut 	skong	Transitive: Voluntary:  To fulfill ; To complete; to add; to satisfy, fulfill a wish ; 1. To fulfill. 2. To make up a deficiency; to supplement ;
skong	 verb-pres 	skong	Transitive: Voluntary:  To summon, convene ;
bskongs	 verb-past 	skong	Transitive: Voluntary:  To summon, convene ;
bskong	 verb-fut 	skong	Transitive: Voluntary:  To summon, convene ;
skon	 verb-pres 	skon	Transitive: Voluntary:  To dress; to clothe another person ; To make someone put on a dress or an ornament ; 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) ; To dress, put on clothes, to cover ; prestten Tibetan skon
bskon(d)	 verb-past 	skon	Transitive: Voluntary:  To dress; to clothe another person ; To make someone put on a dress or an ornament ; 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) ; To dress, put on clothes, to cover ; prestten Tibetan skon
bskon	 verb-fut 	skon	Transitive: Voluntary:  To dress; to clothe another person ; To make someone put on a dress or an ornament ; 1. To make someone wear (wools, a hat &c.). 2. To cause an action similar to the wearing of hats or clothes (e.g. bridle a horse, tie a rope around a calf's neck) ; To dress, put on clothes, to cover ; prestten Tibetan skon
skom	 verb-pres 	skom	Intransitive:  Involuntary:   For a desire to drink to arise when the liquid of the body is depleted ; To suffer because the wetness within the mouth has dried ; Compare skam
skom	 verb-past 	skom	Intransitive:  Involuntary:   For a desire to drink to arise when the liquid of the body is depleted ; To suffer because the wetness within the mouth has dried ; Compare skam
skom	 verb-fut 	skom	Intransitive:  Involuntary:   For a desire to drink to arise when the liquid of the body is depleted ; To suffer because the wetness within the mouth has dried ; Compare skam
skor	 verb-pres 	skor	Transitive: Voluntary:  1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate ; To turn round; to turn a wheel; to take a round; to encircle, surround ; 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead ; 1. To turn around, rotate. 2. To surround, encircle ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83)"]}
bskor(d)	 verb-past 	skor	Transitive: Voluntary:  1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate ; To turn round; to turn a wheel; to take a round; to encircle, surround ; 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead ; 1. To turn around, rotate. 2. To surround, encircle ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83)"]}
bskor	 verb-fut 	skor	Transitive: Voluntary:  1. To fill with; to surround, encircle, enclose, besiege; to come again and again; to revolve. 2. To traverse, ride round a thing. 3. To circumambulate ; To turn round; to turn a wheel; to take a round; to encircle, surround ; 1. To make something turn around the circumference of a center. 2. To lead, take control. 3. To encircle, surround. 4. To change directions, shift allegiances. 5. To trick, mislead ; 1. To turn around, rotate. 2. To surround, encircle ;{:tag :ref, :attrs nil, :content ["(Beyer 1992: 83)"]}
skor	 verb-pres 	skor	Intransitive:  Voluntary:   To go, wander, roam, loaf ; To wander, to roam, to move about ; In Situ's great commentary only bskor
bskor	 verb-past 	skor	Intransitive:  Voluntary:   To go, wander, roam, loaf ; To wander, to roam, to move about ; In Situ's great commentary only bskor
bskor	 verb-fut 	skor	Intransitive:  Voluntary:   To go, wander, roam, loaf ; To wander, to roam, to move about ; In Situ's great commentary only bskor
skol	 verb-pres 	skol	Transitive: Voluntary:  To boil ;
bskol(d)	 verb-past 	skol	Transitive: Voluntary:  To boil ;
bskol	 verb-fut 	skol	Transitive: Voluntary:  To boil ;
skyas	 verb-pres 	skya	Transitive: Voluntary:  1. To carry; convey to a place (a quantity of stones, wood, water, &c.). 2. To change place ; To move one's residence or dwelling; to migrate, transfer ; 1. To move, to move from one place to another, to migrate. 2. (archaic) To deliver, convey ;
